Form,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
A4a,IVP,TRIALGRP3,TRIALGRP3 conditionally blank,If CARETRIAL3 is 1 or blank then TRIALGRP3 must be blank,If Q2c5. CARETRIAL3 (treatment provided 3) is 1 or blank then Q2c6. TRIALGRP3 (clinical trial 3) cannot be blank,If CARETRIAL3=1 or CARETRIAL3=blank and TRIALGRP3 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP3,TRIALGRP3 conforms,"TRIALGRP3 must be 1, 2, 9 or blank","Q2c6. TRIALGRP3 (clinical trial 3) must be 1, 2, 9 or blank","If TRIALGRP3 is not 1,2,9 and TRIALGRP3 is not blank",,,Error,Yes,Conformity,,
A4a,IVP,TARGETAB4,TARGETAB4 conforms,TARGETAB4 must be blank or 1,Q2d1a. TARGETAB4 (primary amyloid beta 4) must be blank or 1,If TARGETAB4 is not blank and TARGETAB4 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETTAU4,TARGETTAU4 conforms,TARGETTAU4 must be blank or 1,Q2d1b. TARGETTAU4 (primary tau 4) must be blank or 1,If TARGETTAU4 is not blank and TARGETTAU4 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETINF4,TARGETINF4 conforms,TARGETINF4 must be blank or 1,Q2d1c. TARGETINF4 (primary inflammation 4) must be blank or 1,If TARGETINF4 is not blank and TARGETINF4 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETSYN4,TARGETSYN4 conforms,TARGETSYN4 must be blank or 1,Q2d1d. TARGETSYN4 (primary synaptic plasticity 4) must be blank or 1,If TARGETSYN4 is not blank and TARGETSYN4 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTH4,TARGETOTH4 conforms,TARGETOTH4 must be blank or 1,Q2d1e. TARGETOTH4 (primary other 4) must be blank or 1,If TARGETOTH4 is not blank and TARGETOTH4 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTX4,TARGETOTX4 conditionally present,If TARGETOTH4 is 1 then TARGETOTX4 cannot be blank,If Q2d1e. TARGETOTH4 (primary other 4) is 1 then Q2d1e1. TARGETOTX4 (primary other specify 4) cannot be blank,If TARGETOTH4=1 and TARGETOTX4=blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETOTX4,TARGETOTX4 conditionally blank,If TARGETOTH4 is blank then TARGETOTX4 must be blank,If Q2d1e. TARGETOTH4 (primary other 4) is blank then Q2d1e1. TARGETOTX4 (primary other specify 4) must be blank,If TARGETOTH4=blank and TARGETOTX4 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETAB4 TARGETTAU4 TARGETINF4 TARGETSYN4 TARGETOTH4,"TARGETAB4, TARGETTAU4, TARGETINF4, TARGETSYN4, TARGETOTH4 conditionally blank","If TARGETAB3, TARGETTAU3, TARGETINF3, TARGETSYN3, and TARGETOTH3 are blank then TARGETAB4, TARGETTAU4, TARGETINF4, TARGETSYN4, and TARGETOTH4 must be blank",If Q2c1a. TARGETAB3 (primary amyloid beta 3) and Q2c1b. TARGETTAU3 (primary tau 3) and Q2c1c. TARGETINF3 (primary inflammation 3) and Q2c1d. TARGETSYN3 (primary synaptic plasticity 3) and Q2c1e. TARGETOTH3 (primary other 3) are blank then Q2d1a. TARGETAB4 (primary amyloid beta 4) and Q2d1b. TARGETTAU4 (primary tau 4) and Q2d1c. TARGETINF4 (primary inflammation 4) and Q2d1d. TARGETSYN4 (primary synaptic plasticity 4) and Q2d1e. TARGETOTH4 (primary other 4) must be blank,If TARGETAB3=blank and TARGETTAU3=blank and TARGETINF3=blank and TARGETSYN3=blank and TARGETOTH3=blank and TARGETAB4 is not blank and TARGETTAU4 is not blank and TARGETINF4 is not blank and TARGETSYN4 is not blank and TARGETOTH4 is not blank,,,Error,,Missingness,,
A4a,IVP,TRTTRIAL4,TRTTRIAL4 conditionally present,If TRTBIOMARK is 1 then TRTTRIAL4 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2d2a. TRTTRIAL4 (specific treatment/trial) cannot be blank,If TRTBIOMARK=1 and TRTTRIAL4=blank,,,Error,Yes,Missingness,,
A4a,IVP,TRTTRIAL4,TRTTRIAL4 conditionally blank,If TRTBIOMARK is 0 then TRTTRIAL4 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2d2a. TRTTRIAL4 (specific treatment/trial) must be blank,If TRTBIOMARK=0 and TRTTRIAL4 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,NCTNUM4,NCTNUM4 conditionally blank,If TRTBIOMARK is 0 then NCTNUM4 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2d2b. NCTNUM4 (NCT identifier) must be blank,If TRTBIOMARK=0 and NCTNUM4 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTMO4,STARTMO4 conforms,STARTMO4 must be between 1 and 12 or blank,Q2d3a. STARTMO4 (start date month 4) must be between 1 and 12 or blank,STARTMO4<1 or STARTMO4>12 and STARTMO4 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTMO4,STARTMO4 conditionally blank,If STARTMO3 is blank then STARTMO4 must be blank,If Q2c3a. STARTMO3 (start date month 3) is blank then Q2d3a. STARTMO4 (start date month 4) must be blank,If STARTMO3=blank and STARTMO4 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTYEAR4,STARTYEAR4 conforms,STARTYEAR4 must be between 1990 and the present year or blank,Q2d3b. STARTYEAR4 (start date year 4) must be between 1990 and the present year or blank,STARTYEAR4<1990 or STARTYEAR4>present year and STARTYEAR4 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTYEAR4,STARTYEAR4 conditionally blank,If STARTYEAR3 is blank then STARTYEAR4 must be blank,If Q2c3b. STARTYEAR3 (start date year 3) is blank then Q2d3b. STARTYEAR4 (start date year 4) must be blank,If STARTYEAR3=blank and STARTYEAR4 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDMO4,ENDMO4 conforms,ENDMO4 must be between 1 and 12 or blank,Q2d4a. ENDMO4 (end date month 4) must be between 1 and 12 or blank,ENDMO4<1 or ENDMO4>12 and ENDMO4 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDMO4,ENDMO4 conditionally blank,If ENDMO3 is blank then ENDMO4 must be blank,If Q2c4a. ENDMO3 (end date month 3) is blank then Q2d4a. ENDMO4 (end date month 4) must be blank,If ENDMO3=blank and ENDMO4 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDYEAR4,ENDYEAR4 conforms,ENDYEAR4 must be between 1990 and the present year or blank,Q2d4b. ENDYEAR4 (end date year 4) must be between 1990 and the present year or blank,ENDYEAR4<1990 or ENDYEAR4>present year and ENDYEAR4 is not blank ,,,Error,Yes,Conformity,,
A4a,IVP,ENDYEAR4,ENDYEAR4 conditionally blank,If ENDYEAR3 is blank then ENDYEAR4 must be blank,If Q2c4b. ENDYEAR3 (end date year 3) is blank then Q2d4b. ENDYEAR4 (end date year 4) must be blank,If ENDYEAR3=blank and ENDYEAR4 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,CARETRIAL4,CARETRIAL4 conforms,CARETRIAL4 must be between 1 and 3 or blank,Q2d5. CARETRIAL4 (treatment provided 4) must be between 1 and 3 or blank,CARETRIAL4<1 or CARETRIAL3>3 and CARETRIAL4 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,CARETRIAL4,CARETRIAL4 conditionally blank,If CARETRIAL3 is blank then CARETRIAL4 must be blank,If Q2c5. CARETRIAL3 (treatment provided 3) is blank then Q2d5. CARETRIAL4 (treatment provided 4) must be blank,If CARETRIAL3=blank and CARETRIAL4 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP4,TRIALGRP4 conditionally present,If CARETRIAL4 is 2 or 3 then TRIALGRP4 cannot be blank,If Q2d5. CARETRIAL4 (treatment provided 4) is 2 or 3 then Q2d6. TRIALGRP4 (clinical trial 4) cannot be blank,"If CARETRIAL4=2,3 and TRIALGRP4=blank",,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP4,TRIALGRP4 conditionally blank,If CARETRIAL4 is 1 or blank then TRIALGRP4 must be blank,If Q2d5. CARETRIAL4 (treatment provided 4) is 1 or blank then Q2d6. TRIALGRP4 (clinical trial 4) must be blank,If CARETRIAL4=1 or CARETRIAL=blank and TRIALGRP4 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP4,TRIALGRP4 conforms,"TRIALGRP4 must be 1, 2, 9 or blank","Q2d6. TRIALGRP4 (clinical trial 4) must be 1, 2, 9 or blank","If TRIALGRP4 is not 1,2,9 and TRIALGRP4 is not blank",,,Error,Yes,Conformity,,
A4a,IVP,TARGETAB5,TARGETAB5 conforms,TARGETAB5 must be blank or 1,Q2e1a. TARGETAB5 (primary amyloid beta 5) must be blank or 1,If TARGETAB5 is not blank and TARGETAB5 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETTAU5,TARGETTAU5 conforms,TARGETTAU5 must be blank or 1,Q2e1b. TARGETTAU5 (primary tau 5) must be blank or 1,If TARGETTAU5 is not blank and TARGETTAU5 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETINF5,TARGETINF5 conforms,TARGETINF5 must be blank or 1,Q2e1c. TARGETINF5 (primary inflammation 5) must be blank or 1,If TARGETINF5 is not blank and TARGETINF5 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETSYN5,TARGETSYN5 conforms,TARGETSYN5 must be blank or 1,Q2e1d. TARGETSYN5 (primary synaptic plasticity 5) must be blank or 1,If TARGETSYN5 is not blank and TARGETSYN5 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTH5,TARGETOTH5 conforms,TARGETOTH5 must be blank or 1,Q2e1e. TARGETOTH5 (primary other 5) must be blank or 1,If TARGETOTH5 is not blank and TARGETOTH5 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTX5,TARGETOTX5 conditionally present,If TARGETOTH5 is 1 then TARGETOTX5 cannot be blank,If Q2e1e. TARGETOTH5 (primary other 5) is 1 then Q2e1e1. TARGETOTX5 (primary other specify 5) cannot be blank,If TARGETOTH5=1 and TARGETOTX5=blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETOTX5,TARGETOTX5 conditionally blank,If TARGETOTH5 is blank then TARGETOTX5 must be blank,If Q2e1e. TARGETOTH5 (primary other 5) is blank then Q2e1e1. TARGETOTX5 (primary other specify 5) must be blank,If TARGETOTH5=blank and TARGETOTX5 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETAB5 TARGETTAU5 TARGETINF5 TARGETSYN5 TARGETOTH5,"TARGETAB5, TARGETTAU5, TARGETINF5, TARGETSYN5, TARGETOTH5 conditionally blank","If TARGETAB4, TARGETTAU4, TARGETINF4, TARGETSYN4, and TARGETOTH4 are blank then TARGETAB5, TARGETTAU5, TARGETINF5, TARGETSYN5, and TARGETOTH5 must be blank",If Q2d1a. TARGETAB4 (primary amyloid beta 4) and Q2d1b. TARGETTAU4 (primary tau 4) and Q2d1c. TARGETINF4 (primary inflammation 4) and Q2d1d. TARGETSYN4 (primary synaptic plasticity 4) and Q2d1e. TARGETOTH4 (primary other 4) are blank then Q2e1a. TARGETAB5 (primary amyloid beta 5) and Q2e1b. TARGETTAU5 (primary tau 5) and Q2e1c. TARGETINF5 (primary inflammation 5) and Q2e1d. TARGETSYN5 (primary synaptic plasticity 5) and Q2e1e. TARGETOTH5 (primary other 5) must be blank,If TARGETAB4=blank and TARGETTAU4=blank and TARGETINF4=blank and TARGETSYN4=blank and TARGETOTH4=blank and TARGETAB5 is not blank and TARGETTAU5 is not blank and TARGETINF5 is not blank and TARGETSYN5 is not blank and TARGETOTH5 is not blank,,,Error,,Missingness,,
A4a,IVP,TRTTRIAL5,TRTTRIAL5 conditionally present,If TRTBIOMARK is 1 then TRTTRIAL5 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2e2a. TRTTRIAL5 (specific treatment/trial) cannot be blank,If TRTBIOMARK=1 and TRTTRIAL5=blank,,,Error,Yes,Missingness,,
A4a,IVP,TRTTRIAL5,TRTTRIAL5 conditionally blank,If TRTBIOMARK is 0 then TRTTRIAL5 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2e2a. TRTTRIAL5 (specific treatment/trial) must be blank,If TRTBIOMARK=0 and TRTTRIAL5 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,NCTNUM5,NCTNUM5 conditionally blank,If TRTBIOMARK is 0 then NCTNUM5 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2e2b. NCTNUM5 (NCT identifier) must be blank,If TRTBIOMARK=0 and NCTNUM5 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTMO5,STARTMO5 conforms,STARTMO5 must be between 1 and 12 or blank,Q2e3a. STARTMO5 (start date month 5) must be between 1 and 12 or blank,STARTMO5<1 or STARTMO5>12 and STARTMO5 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTMO5,STARTMO5 conditionally blank,If STARTMO4 is blank then STARTMO5 must be blank,If Q2d3a. STARTMO4 (start date month 4) is blank then Q2e3a. STARTMO5 (start date month 5) must be blank,If STARTMO4=blank and STARTMO5 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTYEAR5,STARTYEAR5 conforms,STARTYEAR5 must be between 1990 and the present year or blank,Q2e3b. STARTYEAR5 (start date year 5) must be between 1990 and the present year or blank,STARTYEAR5<1990 or STARTYEAR5>present year and STARTYEAR5 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTYEAR5,STARTYEAR5 conditionally blank,If STARTYEAR4 is blank then STARTYEAR5 must be blank,If Q2d3b. STARTYEAR4 (start date year 4) is blank then Q2e3b. STARTYEAR5 (start date year 5) must be blank,If STARTYEAR4=blank and STARTYEAR5 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDMO5,ENDMO5 conforms,ENDMO5 must be between 1 and 12 or blank,Q2e4a. ENDMO5 (end date month 5) must be between 1 and 12 or blank,ENDMO5<1 or ENDMO5>12 and ENDMO5 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDMO5,ENDMO5 conditionally blank,If ENDMO4 is blank then ENDMO5 must be blank,If Q2d4a. ENDMO4 (end date month 4) is blank then Q2e4a. ENDMO5 (end date month 5) must be blank,If ENDMO4=blank and ENDMO5 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDYEAR5,ENDYEAR5 conforms,ENDYEAR5 must be between 1990 and the present year or blank,Q2e4b. ENDYEAR5 (end date year 5) must be between 1990 and the present year or blank,ENDYEAR5<1990 or ENDYEAR5>present year and ENDYEAR5 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDYEAR5,ENDYEAR5 conditionally blank,If ENDYEAR4 is blank then ENDYEAR5 must be blank,If Q2d4b. ENDYEAR4 (end date year 4) is blank then Q2e4b. ENDYEAR5 (end date year 5) must be blank,If ENDYEAR4=blank and ENDYEAR5 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,CARETRIAL5,CARETRIAL5 conforms,CARETRIAL5 must be between 1 and 3 or blank,Q2e5. CARETRIAL5 (treatment provided 5) must be between 1 and 3 or blank,CARETRIAL5<1 or CARETRIAL5>3 and CARETRIAL5 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,CARETRIAL5,CARETRIAL5 conditionally blank,If CARETRIAL4 is blank then CARETRIAL5 must be blank,If Q2d5. CARETRIAL4 (treatment provided 4) is blank then Q2e5. CARETRIAL5 (treatment provided 5) must be blank,If CARETRIAL4=blank and CARETRIAL5 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP5,TRIALGRP5 conditionally present,If CARETRIAL5 is 2 or 3 then TRIALGRP5 cannot be blank,If Q2e5. CARETRIAL5 (treatment provided 5) is 2 or 3 then Q2e6. TRIALGRP5 (clinical trial 5) cannot be blank,"If CARETRIAL5=2,3 and TRIALGRP5=blank",,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP5,TRIALGRP5 conditionally blank,If CARETRIAL5 is 1 or blank then TRIALGRP5 must be blank,If Q2e5. CARETRIAL5 (treatment provided 5) is 1 or blank then Q2e6. TRIALGRP5 (clinical trial 5) must be blank,If CARETRIAL5=1 or CARETRIAL5=blank and TRIALGRP5 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP5,TRIALGRP5 conforms,"TRIALGRP5 must be 1, 2, 9 or blank","Q2e6. TRIALGRP5 (clinical trial 5) must be 1, 2, 9 or blank","If TRIALGRP5 is not 1,2,9 and TRIALGRP5 is not blank",,,Error,Yes,Conformity,,
A4a,IVP,TARGETAB6,TARGETAB6 conforms,TARGETAB6 must be blank or 1,Q2f1a. TARGETAB6 (primary amyloid beta 6) must be blank or 1,If TARGETAB6 is not blank and TARGETAB6 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETTAU6,TARGETTAU6 conforms,TARGETTAU6 must be blank or 1,Q2f1b. TARGETTAU6 (primary tau 6) must be blank or 1,If TARGETTAU6 is not blank and TARGETTAU6 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETINF6,TARGETINF6 conforms,TARGETINF6 must be blank or 1,Q2f1c. TARGETINF6 (primary inflammation 6) must be blank or 1,If TARGETINF6 is not blank and TARGETINF6 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETSYN6,TARGETSYN6 conforms,TARGETSYN6 must be blank or 1,Q2f1d. TARGETSYN6 (primary synaptic plasticity 6) must be blank or 1,If TARGETSYN6 is not blank and TARGETSYN6 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTH6,TARGETOTH6 conforms,TARGETOTH6 must be blank or 1,Q2f1e. TARGETOTH6 (primary other 6) must be blank or 1,If TARGETOTH6 is not blank and TARGETOTH6 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTX6,TARGETOTX6 conditionally present,If TARGETOTH6 is 1 then TARGETOTX6 cannot be blank,If Q2f1e. TARGETOTH6 (primary other 6) is 1 then Q2f1e1. TARGETOTX6 (primary other specify 6) cannot be blank,If TARGETOTH6=1 and TARGETOTX6=blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETOTX6,TARGETOTX6 conditionally blank,If TARGETOTH6 is blank then TARGETOTX6 must be blank,If Q2f1e. TARGETOTH6 (primary other 6) is blank then Q2f1e1. TARGETOTX6 (primary other specify 6) must be blank,If TARGETOTH6=blank and TARGETOTX6 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETAB6 TARGETTAU6 TARGETINF6 TARGETSYN6 TARGETOTH6,"TARGETAB6, TARGETTAU6, TARGETINF6, TARGETSYN6, TARGETOTH6 conditionally blank","If TARGETAB5, TARGETTAU5, TARGETINF5, TARGETSYN5, and TARGETOTH5 are blank then TARGETAB6, TARGETTAU6, TARGETINF6, TARGETSYN6, and TARGETOTH6 must be blank",If Q2e1a. TARGETAB5 (primary amyloid beta 5) and Q2e1b. TARGETTAU5 (primary tau 5) and Q2e1c. TARGETINF5 (primary inflammation 5) and Q2e1d. TARGETSYN5 (primary synaptic plasticity 5) and Q2e1e. TARGETOTH5 (primary other 5) are blank then Q2f1a. TARGETAB6 (primary amyloid beta 6) and Q2f1b. TARGETTAU6 (primary tau 6) and Q2f1c. TARGETINF6 (primary inflammation 6) and Q2f1d. TARGETSYN6 (primary synaptic plasticity 6) and Q2f1e. TARGETOTH6 (primary other 6) must be blank,If TARGETAB5=blank and TARGETTAU5=blank and TARGETINF5=blank and TARGETSYN5=blank and TARGETOTH5=blank and TARGETAB6 is not blank and TARGETTAU6 is not blank and TARGETINF6 is not blank and TARGETSYN6 is not blank and TARGETOTH6 is not blank,,,Error,,Missingness,,
A4a,IVP,TRTTRIAL6,TRTTRIAL6 conditionally present,If TRTBIOMARK is 1 then TRTTRIAL6 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2f2a. TRTTRIAL6 (specific treatment/trial) cannot be blank,If TRTBIOMARK=1 and TRTTRIAL6=blank,,,Error,Yes,Missingness,,
A4a,IVP,TRTTRIAL6,TRTTRIAL6 conditionally blank,If TRTBIOMARK is 0 then TRTTRIAL6 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2f2a. TRTTRIAL6 (specific treatment/trial) must be blank,If TRTBIOMARK=0 and TRTTRIAL6 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,NCTNUM6,NCTNUM6 conditionally blank,If TRTBIOMARK is 0 then NCTNUM6 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2f2b. NCTNUM6 (NCT identifier) must be blank,If TRTBIOMARK=0 and NCTNUM6 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,ALZNET6,ALZNET6 conditionally blank,If TRTBIOMARK is 0 then ALZNET6 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2f2c. ALZNET6 (ALZNET identifier) must be blank,If TRTBIOMARK=0 and ALZNET6 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTMO6,STARTMO6 conforms,STARTMO6 must be between 1 and 12 or blank,Q2f3a. STARTMO6 (start date month 6) must be between 1 and 12 or blank,STARTMO6<1 or STARTMO6>12 and STARTMO6 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTMO6,STARTMO6 conditionally blank,If STARTMO5 is blank then STARTMO6 must be blank,If Q2e3a. STARTMO5 (start date month 5) is blank then Q2f3a. STARTMO6 (start date month 6) must be blank,If STARTMO5=blank and STARTMO6 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTYEAR6,STARTYEAR6 conforms,STARTYEAR6 must be between 1990 and the present year or blank,Q2f3b. STARTYEAR6 (start date year 6) must be between 1990 and the present year or blank,STARTYEAR6<1990 or STARTYEAR6>present year and STARTYEAR6 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTYEAR6,STARTYEAR6 conditionally blank,If STARTYEAR5 is blank then STARTYEAR6 must be blank,If Q2e3b. STARTYEAR5 (start date year 5) is blank then Q2f3b. STARTYEAR6 (start date year 6) must be blank,If STARTYEAR5=blank and STARTYEAR6 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDMO6,ENDMO6 conforms,ENDMO6 must be between 1 and 12 or blank,Q2f4a. ENDMO6 (end date month 6) must be between 1 and 12 or blank,ENDMO6<1 or ENDMO6>12 and ENDMO6 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDMO6,ENDMO6 conditionally blank,If ENDMO5 is blank then ENDMO6 must be blank,If Q2e4a. ENDMO5 (end date month 5) is blank then Q2f4a. ENDMO6 (end date month 6) must be blank,If ENDMO5=blank and ENDMO6 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDYEAR6,ENDYEAR6 conforms,ENDYEAR6 must be between 1990 and the present year or blank,Q2f4b. ENDYEAR6 (end date year 6) must be between 1990 and the present year or blank,ENDYEAR6<1990 or ENDYEAR6>present year and ENDYEAR6 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDYEAR6,ENDYEAR6 conditionally blank,If ENDYEAR5 is blank then ENDYEAR6 must be blank,If Q2e4b. ENDYEAR5 (end date year 5) is blank then Q2f4b. ENDYEAR6 (end date year 6) must be blank,If ENDYEAR5=blank and ENDYEAR6 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,CARETRIAL6,CARETRIAL6 conforms,CARETRIAL6 must be between 1 and 3 or blank,Q2f5. CARETRIAL6 (treatment provided 6) must be between 1 and 3 or blank,CARETRIAL6<1 or CARETRIAL6>3 and CARETRIAL6 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,CARETRIAL6,CARETRIAL6 conditionally blank,If CARETRIAL5 is blank then CARETRIAL6 must be blank,If Q2e5. CARETRIAL5 (treatment provided 5) is blank then Q2f5. CARETRIAL6 (treatment provided 6) must be blank,If CARETRIAL5=blank and CARETRIAL6 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP6,TRIALGRP6 conditionally present,If CARETRIAL6 is 2 or 3 then TRIALGRP6 cannot be blank,If Q2f5. CARETRIAL6 (treatment provided 6) is 2 or 3 then Q2f6. TRIALGRP6 (clinical trial 6) cannot be blank,"If CARETRIAL6=2,3 and TRIALGRP6=blank",,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP6,TRIALGRP6 conditionally blank,If CARETRIAL6 is 1 or blank then TRIALGRP6 must be blank,If Q2f5. CARETRIAL6 (treatment provided 6) is 1 or blank then Q2f6. TRIALGRP6 (clinical trial 6) must be blank,If CARETRIAL6=1 or CARETRIAL6=blank and TRIALGRP6 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP6,TRIALGRP6 conforms,"TRIALGRP6 must be 1, 2, 9 or blank","Q2f6. TRIALGRP6 (clinical trial 6) must be 1, 2, 9 or blank","If TRIALGRP6 is not blank and TRIALGRP6 is not 1,2,9",,,Error,Yes,Conformity,,
A4a,IVP,TARGETAB7,TARGETAB7 conforms,TARGETAB7 must be blank or 1,Q2g1a. TARGETAB7 (primary amyloid beta 7) must be blank or 1,If TARGETAB7 is not blank and TARGETAB7 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETTAU7,TARGETTAU7 conforms,TARGETTAU7 must be blank or 1,Q2g1b. TARGETTAU7 (primary tau 7) must be blank or 1,If TARGETTAU7 is not blank and TARGETTAU7 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETINF7,TARGETINF7 conforms,TARGETINF7 must be blank or 1,Q2g1c. TARGETINF7 (primary inflammation 7) must be blank or 1,If TARGETINF7 is not blank and TARGETINF7 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETSYN7,TARGETSYN7 conforms,TARGETSYN7 must be blank or 1,Q2g1d. TARGETSYN7 (primary synaptic plasticity 7) must be blank or 1,If TARGETSYN7 is not blank and TARGETSYN7 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTH7,TARGETOTH7 conforms,TARGETOTH7 must be blank or 1,Q2g1e. TARGETOTH7 (primary other 7) must be blank or 1,If TARGETOTH7 is not blank and TARGETOTH7 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTX7,TARGETOTX7 conditionally present,If TARGETOTH7 is 1 then TARGETOTX7 cannot be blank,If Q2g1e. TARGETOTH7 (primary other 7) is 1 then Q2g1e1. TARGETOTX7 (primary other specify 7) cannot be blank,If TARGETOTH7=1 and TARGETOTX7=blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETOTX7,TARGETOTX7 conditionally blank,If TARGETOTH7 is blank then TARGETOTX7 must be blank,If Q2g1e. TARGETOTH7 (primary other 7) is blank then Q2g1e1. TARGETOTX7 (primary other specify 7) must be blank,If TARGETOTH7=blank and TARGETOTX7 is not blank,,,Error,Yes,Missingness,,
