error_code,error_no,error_type,form_name,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
np-c-104,104,Error,np,NPINF2B,Conformity,NPINF2B conforms,"NPINF2B must be a number between 0.0-20.0, 88.8 or 99.9","Q122b. NPINF2B (Largest infarct - white matter) must be a number between 0.0-20.0, or 88.8 (N/A) or 99.9 (Unknown/Missing)","IF NPINF2B < 0.0 or (NPINF2B > 20.0 and not in (88.8, 99.9))",,,,,
np-m-105,105,Error,np,NPINF2D,Missingness,NPINF2D conditionally present,"If NPINF2A > 1 and not in (88,99), then NPINF2D cannot be blank","If Q122a. NPINF2A (Number of infarcts ) > 1 and not in (88,99),  then Q122d. NPINF2D (Second largest infarct - white matter) cannot be blank","IF (NPINF2A >1 and NPINF2A not in (88, 99)) and NPINF2D = blank",,"NPINF2A, NPINF2D",,,
np-m-106,106,Error,np,NPINF2D,Missingness,NPINF2D conditionally blank,"If NPINF ne 1 or NPINF2A < 2 or in (88,99), then NPINF2D must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes) or Q122a.  NPINF2A (Number of infarcts ) < 2 or in (88,99), then Q122d. NPINF2D (Second largest infarct - white matter) must be blank","IF (NPINF ne 1 or NPINF2A <2 or NPINF2A in (88, 99)) and NPINF2D ne blank",,"NPINF, NPINF2A, NPINF2D",,,
np-c-107,107,Error,np,NPINF2D,Conformity,NPINF2D conforms,"NPINF2D must be a number between 0.0-20.0, 88.8 or 99.9","Q122d. NPINF2D (Second largest infarct - white matter) must be a number between 0.0-20.0, or 88.8 (N/A) or 99.9 (Unknown/Missing)","IF NPINF2D < 0.0 or (NPINF2D > 20.0 and not in (88.8, 99.9))",,,,,
np-m-108,108,Error,np,NPINF2F,Missingness,NPINF2F conditionally present,"If NPINF2A > 2 and not in (88,99), then NPINF2F cannot be blank","If Q122a. NPINF2A (Number of infarcts ) > 2 and not in (88,99), then Q122f. NPINF2F (Third largest infarct - white matter) cannot be blank","IF (NPINF2A >2 and NPINF2A not in (88, 99)) and NPINF2F = blank",,"NPINF2A, NPINF2F",,,
np-m-109,109,Error,np,NPINF2F,Missingness,NPINF2F conditionally blank,"If NPINF ne 1 or NPINF2A < 3 or in (88,99), then NPINF2F must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes) or Q122a. NPINF2A (Number of infarcts ) < 3 or in (88,99), then Q122f. NPINF2F (Third largest infarct - white matter) must be blank","IF (NPINF ne 1 or NPINF2A <3 or NPINF2A in (88, 99)) and NPINF2F ne blank",,"NPINF, NPINF2A, NPINF2F",,,
np-c-110,110,Error,np,NPINF2F,Conformity,NPINF2F conforms,"NPINF2F must be a number between 0.0-20.0, 88.8 or 99.9","Q122f. NPINF2F (Third largest infarct - white matter) must be a number between 0.0-20.0, or 88.8 (N/A) or 99.9 (Unknown/Missing)","IF NPINF2F < 0.0 or (NPINF2F > 20.0 and not in (88.8, 99.9))",,,,,
np-m-111,111,Error,np,NPINF3A,Missingness,NPINF3A conditionally present,"If NPINF = 1, NPINF3A cannot be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) = 1 (Yes), then Q123a. NPINF3A (Number of infarcts - subcortical cerebral white matter and periventricular white matter) cannot be blank",IF NPINF = 1 and NPINF3A = blank,,"NPINF, NPINF3A",,,
np-m-112,112,Error,np,NPINF3A,Missingness,NPINF3A conditionally blank,"If NPINF ne 1, NPINF3A must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes), then Q123a. NPINF3A (Number of infarcts - subcortical cerebral white matter and periventricular white matter) must be blank",IF NPINF ne 1 and NPINF3A ne blank,,"NPINF, NPINF3A",,,
np-c-113,113,Error,np,NPINF3A,Conformity,NPINF3A conforms,NPINF3A must be an integer between 0-88 or 99,Q123a. NPINF3A (Number of infarcts - deep cerebral gray matter or internal capsule) must be an integer between 0-88 or 99,IF NPINF3A < 0 or (NPINF3A > 88 and not = 99),,,,,
np-m-114,114,Error,np,NPINF3B,Missingness,NPINF3B conditionally present,"If NPINF = 1 and NPINF3A not in (0,88, 99), then NPINF3B cannot be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) = 1 (Yes) and Q123a. NPINF3A (Number of infarcts ) not in (0, 88, 99), then Q123b. NPINF3B (Largest infarct - deep cerebral gray matter or internal capsule) cannot be blank","IF (NPINF = 1 and NPINF3A not in (0,88, 99)) and NPINF3B ne blank",,"NPINF, NPINF3A, NPINF3B",,,
np-m-115,115,Error,np,NPINF3B,Missingness,NPINF3B conditionally blank,"If NPINF ne 1 or NPINF3A in (0,88.99), then NPINF3B must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes) or Q123a. NPINF3A (Number of infarcts ) in (0, 88, 99), then Q123b. NPINF3B (Largest infarct - deep cerebral gray matter or internal capsule) must be blank","IF (NPINF ne 1 or NPINF3A in (0,88, 99)) and NPINF3B ne blank",,"NPINF, NPINF3A, NPINF3B",,,
np-c-116,116,Error,np,NPINF3B,Conformity,NPINF3B conforms,"NPINF3B must be a number between 0.0-20.0, 88.8 or 99.9","Q123b. NPINF3B (Largest infarct - deep cerebral gray matter or internal capsule) must be a number between 0.0-20.0, or 88.8 (N/A) or 99.9 (Unknown/Missing)","IF NPINF3B < 0.0 or (NPINF3B > 20.0 and not in (88.8, 99.9))",,,,,
np-m-117,117,Error,np,NPINF3D,Missingness,NPINF3D conditionally present,"If NPINF3A >1 or not in (88,99), then NPINF3D cannot be blank","If Q123a. NPINF3A (Number of infarcts ) > 1 or not in (88,99), then Q123d. NPINF3D (Third largest infarct - white matter) cannot be blank","IF (NPINF3A >1 or NPINF3A not in (88, 99)) and NPINF3D ne blank",,"NPINF3A, NPINF3D",,,
np-m-118,118,Error,np,NPINF3D,Missingness,NPINF3D conditionally blank,"If NPINF ne 1 or NPINF3A <2 or in (88,99), then NPINF3D must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes) or Q123a. NPINF3A (Number of infarcts ) < 2 or in (88,99), then Q123d. NPINF3D (Third largest infarct - white matter) must be blank","IF (NPINF ne 1 or NPINF3A <2 or NPINF3A in (88, 99)) and NPINF3D ne blank",,"NPINF, NPINF3A, NPINF3D",,,
np-c-119,119,Error,np,NPINF3D,Conformity,NPINF3D conforms,"NPINF3D must be a number between 0.0-20.0, 88.8 or 99.9","Q123d. NPINF3D (Second largest infarct - deep cerebral gray matter or internal capsule) must be a number between 0.0-20.0, or 88.8 (N/A) or 99.9 (Unknown/Missing)","IF NPINF3D < 0.0 or (NPINF3D > 20.0 and not in (88.8, 99.9))",,,,,
np-m-120,120,Error,np,NPINF3F,Missingness,NPINF3F conditionally present,"If NPINF3A >2 and not in (88,99),then  NPINF3F cannot be blank","If Q123a. NPINF3A (Number of infarcts ) > 2 and not in (88,99), then Q123f. NPINF3F (Third largest infarct - deep cerebral gray matter or internal capsule) cannot be blank","IF (NPINF3A >2 and NPINF3A not in (88, 99)) and NPINF3F = blank",,"NPINF3A, NPINF3F",,,
np-m-121,121,Error,np,NPINF3F,Missingness,NPINF3F conditionally blank,"If NPINF ne 1 or NPINF3A < 3 or in (88,99), then NPINF3F must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes) or Q123a. NPINF3A (Number of infarcts ) < 3 or in (88,99), then Q123f. NPINF2F (Third largest infarct - deep cerebral gray matter or internal capsule) must be blank","IF (NPINF ne 1 or NPINF2A <3 or NPINF2A in (88, 99)) and NPINF2F ne blank",,"NPINF, NPINF2A, NPINF2F",,,
np-c-122,122,Error,np,NPINF3F,Conformity,NPINF3F conforms,"NPINF3F must be a number between 0.0-20.0, 88.8 or 99.9","Q123f. NPINF3F (Third largest infarct - deep cerebral gray matter or internal capsule) must be a number between 0.0-20.0, or 88.8 (N/A) or 99.9 (Unknown/Missing)","IF NPINF3F < 0.0 or (NPINF3F > 20.0 and not in (88.8, 99.9))",,,,,
np-m-123,123,Error,np,NPINF4A,Missingness,NPINF4A conditionally present,"If NPINF = 1, NPINF4A cannot be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) = 1 (Yes), then Q124a. NPINF4A (Number of infarcts - brainstem or cerebellumr) cannot be blank",IF NPINF = 1 and NPINF4A = blank,,"NPINF, NPINF4A",,,
np-m-124,124,Error,np,NPINF4A,Missingness,NPINF4A conditionally blank,"If NPINF ne 1, NPINF4A must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes), then Q124a. NPINF4A (Number of infarcts - brainstem or cerebellum) must be blank",IF NPINF ne 1 and NPINF4A ne blank,,"NPINF, NPINF4A",,,
np-c-125,125,Error,np,NPINF4A,Conformity,NPINF4A conforms,NPINF4A must be an integer between 0-88 or 99,Q124a. NPINF4A (Number of infarcts - brainstem or cerebellum) must be an integer between 0-88 or 99,IF NPINF4A < 0 or (NPINF4A > 88 and not = 99),,,,,
np-m-126,126,Error,np,NPINF4B,Missingness,NPINF4B conditionally present,"If NPINF = 1 and NPINF4A not in (0, 88, 99), then NPINF4B cannot be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) = 1 (Yes) and Q. 124a. NPINF4A (Number of infarcts - brainstem or cerebellum) not in (0, 88, or 99), then Q124b. NPINF4B (Largest Infarct - brainstem or cerebellumx) cannot be blank","IF (NPINF = 1 and NPINF4A not in (0, 88, 99)) and NPINF4B = blank",,"NPINF, NPINF4A, NPINF4B",,,
np-m-127,127,Error,np,NPINF4B,Missingness,NPINF4B conditionally blank,"If NPINF ne 1 or NPINF4A in (0, 88, 99), NPINF4B must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes) or 124a. NPINF4A (Number of infarcts - brainstem or cerebellum) in (0, 88, 99), then Q124b. NPINF4B (Largest Infarct - brainstem or cerebellum) must be blank","IF (NPINF ne 1 or NPINF4A in (0, 88, 99)) and NPINF4B ne blank",,"NPINF, NPINF4A, NPINF4B",,,
np-c-128,128,Error,np,NPINF4B,Conformity,NPINF4B conforms,"NPINF4B must be a number between 0.0-20.0, 88.8 or 99.9","Q124b. NPINF4B (Largest Infarct - brainstem or cerebellum) must be a number between 0.0-20.0, or 88.8 (N/A) or 99.9 (Unknown/Missing)","IF NPINF4B < 0.0 or (NPINF4B > 20.0 and not in (88.8, 99.9))",,,,,
np-m-129,129,Error,np,NPINF4D,Missingness,NPINF4D conditionally present,"If NPINF4A > 1 or not in (88,99), then NPINF4D cannot be blank","If Q124a. NPINF4A (Number of infarcts - brainstem or cerebellum)  > 1 or not in (88,99), then Q124d. NPINF4D (Second largest infarct - brainstem or cerebellum) cannot be blank","IF (NPINF4A >1 and NPINF4A not in (88, 99)) and NPINF4D = blank",,"NPINF4A, NPINF4D",,,
np-m-130,130,Error,np,NPINF4D,Missingness,NPINF4D conditionally blank,"If NPINF ne 1 or  NPINF4A < 2 or in (88,99), then NPINF4D must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes) or 124a. NPINF4A (Number of infarcts - brainstem or cerebellum) < 2 or in (88,99), then Q124d. NPINF4D (Second largest infarct - brainstem or cerebellum) must be blank","IF (NPINF ne 1 or NPINF4A <2 or NPINF4A in (88, 99)) and NPINF4D ne blank",,"NPINF, NPINF4A, NPINF4D",,,
np-c-131,131,Error,np,NPINF4D,Conformity,NPINF4D conforms,"NPINF4D must be a number between 0.0-20.0, 88.8 or 99.9","Q124d. NPINF4D (Second largest infarct - brainstem or cerebellum) must be a number between 0.0-20.0, or 88.8 (N/A) or 99.9 (Unknown/Missing)","IF NPINF4D < 0.0 or (NPINF4D > 20.0 and not in (88.8, 99.9))",,,,,
np-m-132,132,Error,np,NPINF4F,Missingness,NPINF4F conditionally present,"If NPINF4A > 2 and not in (88,99), then NPINF4F cannot be blank","If Q124a. NPINF4A (Number of infarcts - brainstem or cerebellum) > 2, or not in (88,99), then Q124f. NPINF4F (Third largest infarct - brainstem or cerebellum) cannot be blank","IF (NPINF4A >2 and NPINF4A not in (88, 99)) and NPINF4F = blank",,"NPINF4A, NPINF4F",,,
np-m-133,133,Error,np,NPINF4F,Missingness,NPINF4F conditionally blank,"If NPINF ne 1 or NPINF4A < 3 or in (88,99), NPINF4F must be blank","If Q12a. NPINF (Old infarcts observed grossly, including lacunes) ne 1 (Yes) or 124a. NPINF4A (Number of infarcts - brainstem or cerebellum) < 3 or in (88,99), then Q124f. NPINF4F (Third largest infarct - brainstem or cerebellum) must be blank","IF (NPINF ne 1 or NPINF4A <3 or NPINF4A in (88, 99)) and NPINF4F ne blank",,"NPINF, NPINF4A, NPINF4F",,,
np-c-134,134,Error,np,NPINF4F,Conformity,NPINF4F conforms,"NPINF4F must be a number between 0.0-20.0, 88.8 or 99.9","Q124f. NPINF4F (Third largest infarct - brainstem or cerebellum) must be a number between 0.0-20.0, or 88.8 (N/A) or 99.9 (Unknown/Missing)","IF NPINF4F < 0.0 or (NPINF4F > 20.0 and not in (88.8, 99.9))",,,,,
np-m-135,135,Error,np,NPHEMO,Missingness,NPHEMO must be present,NPHEMO cannot be blank,Q12b. NPHEMO (Were single or multiple old hemorrhages observed grossly?) cannot be blank,IF NPHEMO = blank,,,,,
np-c-136,136,Error,np,NPHEMO,Conformity,NPHEMO conforms,"NPHEMO must be an integer between 0-1, 8 or 9","Q12b. NPHEMO (Were single or multiple old hemorrhages observed grossly?) must be an integer between 0-1, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPHEMO < 0 or (NPHEMO > 1 and not in (8, 9))",,,,,
np-m-137,137,Error,np,NPHEMO1,Missingness,NPHEMO1 conditionally present,"If NPHEMO = 1, NPHEMO1 cannot be blank","If Q12b. NPHEMO (Were single or multiple old hemorrhages observed grossly?) = 1 (Yes), then Q12b1. NPHEMO1 (Subdural or epidural hemorrhage) cannot be blank",IF NPHEMO = 1 and NPHEMO1 = blank,,"NPHEMO, NPHEMO1",,,
np-m-138,138,Error,np,NPHEMO1,Missingness,NPHEMO1 conditionally blank,"If NPHEMO ne 1, NPHEMO1 must be blank","If Q12b. NPHEMO (Were single or multiple old hemorrhages observed grossly?) ne 1 (Yes), then Q12b1. NPHEMO1 (Subdural or epidural hemorrhage) must be blank",IF NPHEMO ne 1 and NPHEMO1 ne blank,,"NPHEMO, NPHEMO1",,,
np-c-139,139,Error,np,NPHEMO1,Conformity,NPHEMO1 conforms,"NPHEMO1 must be an integer between 0-1, 8 or 9","Q12b1. NPHEMO1 (Subdural or epidural hemorrhage) must be an integer between 0-1, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPHEMO1 < 0 or (NPHEMO1 > 1 and not in (8,  9))",,,,,
np-m-140,140,Error,np,NPHEMO2,Missingness,NPHEMO2 conditionally present,"If NPHEMO = 1, NPHEMO2 cannot be blank","If Q12b. NPHEMO (Were single or multiple old hemorrhages observed grossly?) = 1 (Yes), then Q12b2. NPHEMO2 (Primary parenchymal hemorrhage) cannot be blank",IF NPHEMO = 1 and NPHEMO2 = blank,,"NPHEMO, NPHEMO2",,,
np-m-141,141,Error,np,NPHEMO2,Missingness,NPHEMO2 conditionally blank,"If NPHEMO ne 1, NPHEMO2 must be blank","If Q12b. NPHEMO (Were single or multiple old hemorrhages observed grossly?) ne 1 (Yes), then Q12b2. NPHEMO2 (Primary parenchymal hemorrhage) must be blank",IF NPHEMO ne 1 and NPHEMO2 ne blank,,"NPHEMO, NPHEMO2",,,
np-c-142,142,Error,np,NPHEMO2,Conformity,NPHEMO2 conforms,"NPHEMO2 must be an integer between 0-1, 8 or 9","Q12b2. NPHEMO2 (Primary parenchymal hemorrhage) must be an integer between 0-1, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPHEMO2 < 0 or (NPHEMO2 > 1 and not in (8, 9))",,,,,
np-m-143,143,Error,np,NPHEMO3,Missingness,NPHEMO3 conditionally present,"If NPHEMO = 1, NPHEMO3 cannot be blank","If Q12b. NPHEMO (Were single or multiple old hemorrhages observed grossly?) = 1 (Yes), then Q12b3. NPHEMO3 (Secondary parenchymal hemorrhage (e.g., tumor, vascular malformation)) cannot be blank",IF NPHEMO = 1 and NPHEMO3 = blank,,"NPHEMO, NPHEMO3",,,
np-m-144,144,Error,np,NPHEMO3,Missingness,NPHEMO3 conditionally blank,"If NPHEMO ne 1, NPHEMO3 must be blank","If  Q12b. NPHEMO (Were single or multiple old hemorrhages observed grossly?) ne 1 (Yes), then Q12b3. NPHEMO3 (Secondary parenchymal hemorrhage (e.g., tumor, vascular malformation)) must be blank",IF NPHEMO ne 1 and NPHEMO3 ne blank,,"NPHEMO, NPHEMO3",,,
np-c-145,145,Error,np,NPHEMO3,Conformity,NPHEMO3 conforms,"NPHEMO3 must be an integer between 0-1, 8 or 9","Q12b3. NPHEMO3 (Secondary parenchymal hemorrhage (e.g., tumor, vascular malformation)) must be an integer between 0-1, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPHEMO3 < 0 or (NPHEMO3 > 1 and not in (8, 9))",,,,,
np-m-146,146,Error,np,NPOLD,Missingness,NPOLD must be present,NPOLD cannot be blank,"Q12c. NPOLD (Old microinfarcts, not observed grossly) cannot be blank",IF NPOLD = blank,,,,,
np-c-147,147,Error,np,NPOLD,Conformity,NPOLD conforms,"NPOLD must be an integer between 0-1, 8 or 9","Q12c. NPOLD (Old microinfarcts, not observed grossly) must be an integer between 0-1, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPOLD < 0 or (NPOLD > 1 and not in (8, 9))",,,,,
np-m-148,148,Error,np,NPOLD1,Missingness,NPOLD1 conditionally present,"If NPOLD = 1, NPOLD1 cannot be blank","If Q12c. NPOLD (Old microinfarcts, not observed grossly) = 1 (Yes), then Q12c1. NPOLD1 (Number of old microinfarcts - cerebral cortex) cannot be blank",IF NPOLD = 1 and NPOLD1 = blank,,"NPOLD, NPOLD1",,,
np-m-149,149,Error,np,NPOLD1,Missingness,NPOLD1 conditionally blank,"If NPOLD ne 1, NPOLD1 must be blank","If Q12c. NPOLD (Old microinfarcts, not observed grossly) ne 1 (Yes), then Q12c1. NPOLD1 (Number of old microinfarcts - cerebral cortex) must be blank",IF NPOLD ne 1 and NPOLD1 ne blank,,"NPOLD, NPOLD1",,,
np-c-150,150,Error,np,NPOLD1,Conformity,NPOLD1 conforms,"NPOLD1 must be an integer between 0-3, 8 or 9","Q12c1. NPOLD1 (Number of old microinfarcts - cerebral cortex) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPOLD1 < 0 or (NPOLD1 > 3 and not in (8, 9))",,,,,
np-m-151,151,Error,np,NPOLD2,Missingness,NPOLD2 conditionally present,"If NPOLD = 1, NPOLD2 cannot be blank","If Q12c. NPOLD (Old microinfarcts, not observed grossly) = 1 (Yes), then Q12c2. NPOLD2 (Number of old microinfarcts - subcortical and periventricular white matter) cannot be blank",IF NPOLD = 1 and NPOLD2 = blank,,"NPOLD, NPOLD2",,,
np-m-152,152,Error,np,NPOLD2,Missingness,NPOLD2 conditionally blank,"If NPOLD ne 1, NPOLD2 must be blank","If Q12c. NPOLD (Old microinfarcts, not observed grossly) ne 1 (Yes), then Q12c2. NPOLD2 (Number of old microinfarcts - subcortical and periventricular white matter) must be blank",IF NPOLD ne 1 and NPOLD2 ne blank,,"NPOLD, NPOLD2",,,
np-c-153,153,Error,np,NPOLD2,Conformity,NPOLD2 conforms,"NPOLD2 must be an integer between 0-3, 8 or 9","Q12c2. NPOLD2 (Number of old microinfarcts - subcortical and periventricular white matter) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPOLD2 < 0 or (NPOLD2 > 3 and not in (8, 9))",,,,,
np-m-154,154,Error,np,NPOLD3,Missingness,NPOLD3 conditionally present,"If NPOLD = 1, NPOLD3 cannot be blank","If Q12c. NPOLD (Old microinfarcts, not observed grossly) = 1 (Yes), then Q12c3. NPOLD3 (Number of old microinfarcts - subcortical gray matter) cannot be blank",IF NPOLD = 1 and NPOLD3 = blank,,"NPOLD, NPOLD3",,,
np-m-155,155,Error,np,NPOLD3,Missingness,NPOLD3 conditionally blank,"If NPOLD ne 1, NPOLD3 must be blank","If Q12c. NPOLD (Old microinfarcts, not observed grossly) ne 1 (Yes), then Q12c3. NPOLD3 (Number of old microinfarcts - subcortical gray matter) must be blank",IF NPOLD ne 1 and NPOLD3 ne blank,,"NPOLD, NPOLD3",,,
np-c-156,156,Error,np,NPOLD3,Conformity,NPOLD3 conforms,"NPOLD3 must be an integer between 0-3, 8 or 9","Q12c3. NPOLD3 (Number of old microinfarcts - subcortical gray matter) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPOLD3 < 0 or (NPOLD3 > 3 and not in (8, 9))",,,,,
np-m-157,157,Error,np,NPOLD4,Missingness,NPOLD4 conditionally present,"If NPOLD = 1, NPOLD4 cannot be blank","If Q12c. NPOLD (Old microinfarcts, not observed grossly) = 1 (Yes), then Q12c4. NPOLD4 (Number of old microinfarcts - brainstem and cerebellum) cannot be blank",IF NPOLD = 1 and NPOLD4 = blank,,"NPOLD, NPOLD4",,,
np-m-158,158,Error,np,NPOLD4,Missingness,NPOLD4 conditionally blank,"If NPOLD ne 1, NPOLD4 must be blank","If Q12c. NPOLD (Old microinfarcts, not observed grossly) ne 1 (Yes), then Q12c4. NPOLD4 (Number of old microinfarcts - brainstem and cerebellum) must be blank",IF NPOLD ne 1 and NPOLD4 ne blank,,"NPOLD, NPOLD4",,,
np-c-159,159,Error,np,NPOLD4,Conformity,NPOLD4 conforms,"NPOLD4 must be an integer between 0-3, 8 or 9","Q12c4. NPOLD4 (Number of old microinfarcts - brainstem and cerebellum) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPOLD4 < 0 or (NPOLD4 > 3 and not in (8, 9))",,,,,
np-m-160,160,Error,np,NPOLDD,Missingness,NPOLDD must be present,NPOLDD cannot be blank,Q12d. NPOLDD (Old cerebral microbleeds) cannot be blank,IF NPOLDD = blank,,,,,
np-c-161,161,Error,np,NPOLDD,Conformity,NPOLDD conforms,"NPOLDD must be an integer between 0-1, 8 or 9","Q12d. NPOLDD (Old cerebral microbleeds) must be an integer between 0-1, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPOLDD < 0 or (NPOLDD > 1 and not in (8, 9))",,,,,
np-m-162,162,Error,np,NPOLDD1,Missingness,NPOLDD1 conditionally present,"If NPOLDD = 1, NPOLDD1 cannot be blank","If Q12d. NPOLDD (Old cerebral microbleeds) = 1 (Yes), then Q12d1. NPOLDD1 (Number of microbleeds - cerebral cortex) cannot be blank",IF NPOLDD = 1 and NPOLDD1 = blank,,"NPOLDD, NPOLDD1",,,
np-m-163,163,Error,np,NPOLDD1,Missingness,NPOLDD1 conditionally blank,"If NPOLDD ne 1, NPOLDD1 must be blank","If Q12d. NPOLDD (Old cerebral microbleeds) ne 1 (Yes), then Q12d1. NPOLDD1 (Number of microbleeds - cerebral cortex) must be blank",IF NPOLDD ne 1 and NPOLDD1 ne blank,,"NPOLDD, NPOLDD1",,,
np-c-164,164,Error,np,NPOLDD1,Conformity,NPOLDD1 conforms,"NPOLDD1 must be an integer between 0-3, 8 or 9","Q12d1. NPOLDD1 (Number of microbleeds - cerebral cortex) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPOLDD1 < 0 or (NPOLDD1 > 3 and not in (8, 9))",,,,,
np-m-165,165,Error,np,NPOLDD2,Missingness,NPOLDD2 conditionally present,"If NPOLDD = 1, NPOLDD2 cannot be blank","If Q12d. NPOLDD (Old cerebral microbleeds) = 1 (Yes), then Q12d2. NPOLDD2 (Number of microbleeds - subcortical and periventricular white matter) cannot be blank",IF NPOLDD = 1 and NPOLDD2 = blank,,"NPOLDD, NPOLDD2",,,
np-m-166,166,Error,np,NPOLDD2,Missingness,NPOLDD2 conditionally blank,"If NPOLDD ne 1, NPOLDD2 must be blank","If Q12d. NPOLDD (Old cerebral microbleeds) ne 1 (Yes), then Q12d2. NPOLDD2 (Number of microbleeds - subcortical and periventricular white matter) must be blank",IF NPOLDD ne 1 and NPOLDD2 ne blank,,"NPOLDD, NPOLDD2",,,
np-c-167,167,Error,np,NPOLDD2,Conformity,NPOLDD2 conforms,"NPOLDD2 must be an integer between 0-3, 8 or 9","Q12d2. NPOLDD2 (Number of microbleeds - subcortical and periventricular white matter) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPOLDD2 < 0 or (NPOLDD2 > 3 and not in (8, 9))",,,,,
np-m-168,168,Error,np,NPOLDD3,Missingness,NPOLDD3 conditionally present,"If NPOLDD = 1, NPOLDD3 cannot be blank","If Q12d. NPOLDD (Old cerebral microbleeds) = 1 (Yes), then Q12d3. NPOLDD3 (Number of microbleeds - subcortical gray matter) cannot be blank",IF NPOLDD = 1 and NPOLDD3 = blank,,"NPOLDD, NPOLDD3",,,
np-m-169,169,Error,np,NPOLDD3,Missingness,NPOLDD3 conditionally blank,"If NPOLDD ne 1, NPOLDD3 must be blank","If Q12d. NPOLDD (Old cerebral microbleeds) ne 1 (Yes), then Q12d3. NPOLDD3 (Number of microbleeds - subcortical gray matter) must be blank",IF NPOLDD ne 1 and NPOLDD3 ne blank,,"NPOLDD, NPOLDD3",,,
np-c-170,170,Error,np,NPOLDD3,Conformity,NPOLDD3 conforms,"NPOLDD3 must be an integer between 0-3, 8 or 9","Q12d3. NPOLDD3 (Number of microbleeds - subcortical gray matter) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPOLDD3 < 0 or (NPOLDD3 > 3 and not in (8, 9))",,,,,
np-m-171,171,Error,np,NPOLDD4,Missingness,NPOLDD4 conditionally present,"If NPOLDD = 1, NPOLDD4 cannot be blank","If Q12d. NPOLDD (Old cerebral microbleeds) = 1 (Yes), then Q12d4. NPOLDD4 (Number of microbleeds - brainstem and cerebellum) cannot be blank",IF NPOLDD = 1 and NPOLDD4 = blank,,"NPOLDD, NPOLDD4",,,
np-m-172,172,Error,np,NPOLDD4,Missingness,NPOLDD4 conditionally blank,"If NPOLDD ne 1, NPOLDD4 must be blank","If Q12d. NPOLDD (Old cerebral microbleeds) ne 1 (Yes), then Q12d4. NPOLDD4 (Number of microbleeds - brainstem and cerebellum) must be blank",IF NPOLDD ne 1 and NPOLDD4 ne blank,,"NPOLDD, NPOLDD4",,,
np-c-173,173,Error,np,NPOLDD4,Conformity,NPOLDD4 conforms,"NPOLDD4 must be an integer between 0-3, 8 or 9","Q12d4. NPOLDD4 (Number of microbleeds - brainstem and cerebellum) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPOLDD4 < 0 or (NPOLDD4 > 3 and not in (8, 9))",,,,,
np-m-174,174,Error,np,NPARTER,Missingness,NPARTER must be present,NPARTER cannot be blank,Q12e. NPARTER (Arteriolosclerosis) cannot be blank,IF NPARTER = blank,,,,,
np-c-175,175,Error,np,NPARTER,Conformity,NPARTER conforms,"NPARTER must be an integer between 0-3, 8 or 9","Q12e. NPARTER (Arteriolosclerosis) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPARTER < 0 or (NPARTER > 3 and not in (8, 9))",,,,,
np-m-176,176,Error,np,NPWMR,Missingness,NPWMR must be present,NPWMR cannot be blank,Q12f. NPWMR (White matter rarefaction) cannot be blank,IF NPWMR = blank,,,,,
np-c-177,177,Error,np,NPWMR,Conformity,NPWMR conforms,"NPWMR must be an integer between 0-3, 8 or 9","Q12f. NPWMR (White matter rarefaction) must be an integer between 0-3, or 8 (Not asessed) or 9 (Missing/Unknown)","IF NPWMR < 0 or (NPWMR > 3 and not in (8, 9))",,,,,
