field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
dose_1_mo_yr_table,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>When did you receive your first COVID-19 vaccination (month/year): <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 61.29%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19vac1mo}</td> <td style=""width: 50%;"">{c19vac1yr}</td> </tr> </tbody> </table> <p> <br /><br /></p></div>",,,,,,,"[c19nvac] = '1' or [c19nvac] = '2' or [c19nvac] = '3' or [c19nvac] = '4' or [c19nvac] = '5' or [c19nvac] = '6' or [c19nvac] = '7'",,,,,,
c19vac1mo,form_f2_covid_impact_survey_participant,,dropdown,"month of first vaccination dose","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December| 88, Decline to answer | 99, Unknown",,autocomplete,,,,"[c19nvac] = '1' or [c19nvac] = '2' or [c19nvac] = '3' or [c19nvac] = '4' or [c19nvac] = '5' or [c19nvac] = '6' or [c19nvac] = '7'",y,LV,,,,@PLACEHOLDER='Month'
c19vac1yr,form_f2_covid_impact_survey_participant,,dropdown,"Year of first vaccination dose","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027 | 8888, Decline to answer | 9999, Unknown",,autocomplete,,,,"[c19nvac] = '1' or [c19nvac] = '2' or [c19nvac] = '3' or [c19nvac] = '4' or [c19nvac] = '5' or [c19nvac] = '6' or [c19nvac] = '7'",y,LV,,,,@PLACEHOLDER='Year'
c19tvac1,form_f2_covid_impact_survey_participant,,radio,"Which COVID-19 vaccine did you first receive?","1, Pfizer | 2, Moderna | 3, Janssen (Johnson & Johnson) | 4, Other {c19tvac1ox} | 8, Decline to answer | 9, Unsure/unknown",,,,,,"[c19nvac] = '1' or [c19nvac] = '2' or [c19nvac] = '3' or [c19nvac] = '4' or [c19nvac] = '5' or [c19nvac] = '6' or [c19nvac] = '7'",y,LV,,,,
c19tvac1ox,form_f2_covid_impact_survey_participant,,text,"Please specify the brand",,,,,,,[c19tvac1]='4',y,LV,,,,"@PLACEHOLDER='Please specify the brand'"
c19svac1,form_f2_covid_impact_survey_participant,,radio,"Did you experience any symptoms within 5 days of your first COVID-19 vaccination?","0, No | 1, Yes | 8, Decline to answer | 9, Unsure/unknown",,,,,,"[c19nvac] = '1' or [c19nvac] = '2' or [c19nvac] = '3' or [c19nvac] = '4' or [c19nvac] = '5' or [c19nvac] = '6' or [c19nvac] = '7'",y,LV,,,,
c19vac1_table,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Which of the following symptoms did you experience after your first vaccine? (SELECT ALL THAT APPLY)</p> <table style=""border-collapse: collapse; width: 90.7652%; height: 123.2px;"" border=""0""> <tbody> <tr style=""height: 17.6px;""> <td style=""width: 7.46047%;""> </td> <td style=""width: 10%; height: 17.6px; border-color: #c2e0f4; border-style: dotted;"">{c19vac1arm}</td> <td style=""width: 32.2229%; border-color: #c2e0f4; border-style: dotted;""> <p>Sore arm</p> </td> <td style=""width: 50.3186%; border-color: #c2e0f4; border-style: none;""> <p>{c19vac1ady_label} {c19vac1ady}</p> </td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 7.46047%;""> </td> <td style=""width: 10%; height: 17.6px; border-color: #c2e0f4; border-style: dotted;"">{c19vac1flu} </td> <td style=""width: 32.2229%; border-color: #c2e0f4; border-style: dotted;""> <p>Flu-like feelings <em>(fever, chills, tiredness, or ""malaise"")</em></p> </td> <td style=""width: 50.3186%; border-color: #c2e0f4; border-style: none;""> <p>{c19vac1fdy_label} {c19vac1fdy}</p> </td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 7.46047%;""> </td> <td style=""width: 10%; height: 17.6px; border-color: #c2e0f4; border-style: dotted;"">{c19vac1mem} </td> <td style=""width: 32.2229%; border-color: #c2e0f4; border-style: dotted;""> <p>New problems with memory, thinking, or concentration</p> </td> <td style=""width: 50.3186%; border-color: #c2e0f4; border-style: none;""> <p>{c19vac1mdy_label} {c19vac1mdy}</p> </td> </tr> </tbody> </table> <p style=""text-align: left; padding-left: 160px;"">or</p> <table style=""border-collapse: collapse; width: 90.1899%; height: 17.6px;"" border=""0""> <tbody> <tr style=""height: 17.6px;""> <td style=""width: 7.02188%;""> </td> <td style=""width: 19.1762%; height: 17.6px; border-color: #c2e0f4; border-style: dotted;"">{c19vac1dec}            </td> <td style=""width: 19.6486%; border-color: #c2e0f4; border-style: dotted;"">Decline to answer</td> <td style=""width: 24.2812%; border-color: #c2e0f4; border-style: dotted;"">{c19vac1unk} </td> <td style=""width: 29.8722%; border-color: #c2e0f4; border-style: dotted;"">Unsure/unknown</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,[c19svac1]='1',,,,,,
c19vac1_symptom_warning,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <table style=""border-collapse: collapse; width: 101.01156069364163%; height: 53px; background-color: #ff0000; border-color: #ff0000; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 100%; height: 35px; background-color: #ff0000; text-align: left;""><span style=""color: #ffffff;"">It appears you have selected a symptom AND selected 'Decline to Answer' or 'Unknown'. Please reset your answer(s) so that only one or the other are selected.</span></td> </tr> </tbody> </table> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> </div> </div> </div> </div></div>","1,",,,,,,"([c19vac1arm]='1' or [c19vac1flu]='1' or [c19vac1mem]='1') and ([c19vac1dec]='1' or [c19vac1unk]='1')",y,LV,,,,@READONLY
c19vac1arm,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>Which of the following symptoms did you experience after your first vaccine: Sore arm</p></div>","1,",,,,,,[c19svac1]='1',,LV,,,,
c19vac1ady_label,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Number of days sore arm lasted <span style=""font-size: xx-small;""><em><span style=""color: #e03e2d;"">* must provide value</span></em></span></p></div>",,,,,,,[c19vac1arm]='1',,,,,,
c19vac1ady,form_f2_covid_impact_survey_participant,,text,"Number of days sore arm lasted",,,number,,,,"[c19vac1arm] = '1'",y,LV,,,,"@PLACEHOLDER='(999 = Uncertain, 777 = Continued through now)'"
c19vac1flu,form_f2_covid_impact_survey_participant,,radio,"Which of the following symptoms did you experience after your first vaccine: Flu-like feelings (fever, chills, tiredness, or ""malaise"")","1,",,,,,,[c19svac1]='1',,LV,,,,
c19vac1fdy_label,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Number of days flu-like feelings lasted <span style=""font-size: xx-small;""><em><span style=""color: #e03e2d;"">* must provide value</span></em></span></p></div>",,,,,,,"[c19vac1flu] = '1'",,,,,,
c19vac1fdy,form_f2_covid_impact_survey_participant,,text,"Number of days flu-like feelings lasted",,,number,,,,"[c19vac1flu] = '1'",y,LV,,,,"@PLACEHOLDER='(999 = Uncertain, 777 = Continued through now)'"
c19vac1mem,form_f2_covid_impact_survey_participant,,radio,"Which of the following symptoms did you experience after your first vaccine: New problems with memory, thinking, or concentration","1,",,,,,,[c19svac1]='1',,LV,,,,
c19vac1mdy_label,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Number of days new problems with memory, thinking, or concentration lasted <span style=""font-size: xx-small;""><em><span style=""color: #e03e2d;"">* must provide value</span></em></span></p></div>",,,,,,,"[c19vac1mem] = '1'",,,,,,"@PLACEHOLDER='(999 = Uncertain, 777 = Continued through now)'"
c19vac1mdy,form_f2_covid_impact_survey_participant,,text,"Number of days new problems with memory, thinking, or concentration lasted",,,number,,,,"[c19vac1mem] = '1'",y,LV,,,,"@PLACEHOLDER='(999 = Uncertain, 777 = Continued through now)'"
c19vac1dec,form_f2_covid_impact_survey_participant,,radio,"Which of the following symptoms did you experience after your first vaccine: Decline to answer","1,",,,,,,[c19svac1]='1',,LV,,,,
c19vac1unk,form_f2_covid_impact_survey_participant,,radio,"Which of the following symptoms did you experience after your first vaccine: Unknown","1,",,,,,,[c19svac1]='1',,LV,,,,
dose_2_mo_yr_table,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>When did you receive your second COVID-19 vaccination (month/year): <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 61.29%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19vac2mo}</td> <td style=""width: 50%;"">{c19vac2yr}</td> </tr> </tbody> </table> <p> <br /> </p></div>",,,,,,,"[c19nvac] = '3' or [c19nvac] = '5' or [c19nvac] = '7'",,,,,,
c19vac2mo,form_f2_covid_impact_survey_participant,,dropdown,"month of second vaccination dose","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December| 88, Decline to answer | 99, Unknown",,autocomplete,,,,"[c19nvac] = '3' or [c19nvac] = '5' or [c19nvac] = '7'",y,LV,,,,@PLACEHOLDER='Month'
c19vac2yr,form_f2_covid_impact_survey_participant,,dropdown,"Year of second vaccination dose","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027 | 8888, Decline to answer | 9999, Unknown",,autocomplete,,,,"[c19nvac] = '3' or [c19nvac] = '5' or [c19nvac] = '7'",y,LV,,,,@PLACEHOLDER='Year'
c19tvac2,form_f2_covid_impact_survey_participant,,radio,"Which COVID-19 vaccine did you receive?","1, Pfizer | 2, Moderna | 3, Other {c19tvac2ox} | 8, Decline to answer | 9, Unsure/unknown",,,,,,"[c19nvac] = '3' or [c19nvac] = '5' or [c19nvac] = '7'",y,LV,,,,
c19tvac2ox,form_f2_covid_impact_survey_participant,,text,"Other brand for vaccination 2",,,,,,,[c19tvac2]='3',y,,,,,"@PLACEHOLDER='Please specify the brand'"
c19svac2,form_f2_covid_impact_survey_participant,,radio,"Did you experience any symptoms within 5 days of your second COVID-19 vaccination?","0, No | 1, Yes | 8, Decline to answer | 9, Unsure/unknown",,,,,,"[c19nvac] = '3' or [c19nvac] = '5' or [c19nvac] = '7'",y,LV,,,,
c19vac2_table,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Which of the following symptoms did you experience after your second vaccine? (SELECT ALL THAT APPLY)</p> <table style=""border-collapse: collapse; width: 90.7652%; height: 123.2px;"" border=""0""> <tbody> <tr style=""height: 17.6px;""> <td style=""width: 7.46047%;""> </td> <td style=""width: 10%; height: 17.6px; border-color: #c2e0f4; border-style: dotted;"">{c19vac2arm}</td> <td style=""width: 32.2229%; border-color: #c2e0f4; border-style: dotted;""> <p>Sore arm</p> </td> <td style=""width: 50.3186%; border-color: #c2e0f4; border-style: none;""> <p>{c19vac2ady_label} {c19vac2ady}</p> </td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 7.46047%;""> </td> <td style=""width: 10%; height: 17.6px; border-color: #c2e0f4; border-style: dotted;"">{c19vac2flu} </td> <td style=""width: 32.2229%; border-color: #c2e0f4; border-style: dotted;""> <p>Flu-like feelings <em>(fever, chills, tiredness, or ""malaise"")</em></p> </td> <td style=""width: 50.3186%; border-color: #c2e0f4; border-style: none;""> <p>{c19vac2fdy_label} {c19vac2fdy}</p> </td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 7.46047%;""> </td> <td style=""width: 10%; height: 17.6px; border-color: #c2e0f4; border-style: dotted;"">{c19vac2mem} </td> <td style=""width: 32.2229%; border-color: #c2e0f4; border-style: dotted;""> <p>New problems with memory, thinking, or concentration</p> </td> <td style=""width: 50.3186%; border-color: #c2e0f4; border-style: none;""> <p>{c19vac2mdy_label} {c19vac2mdy}</p> </td> </tr> </tbody> </table> <p style=""text-align: left; padding-left: 160px;"">or</p> <table style=""border-collapse: collapse; width: 90.1899%; height: 17.6px;"" border=""0""> <tbody> <tr style=""height: 17.6px;""> <td style=""width: 7.02188%;""> </td> <td style=""width: 19.1762%; height: 17.6px; border-color: #c2e0f4; border-style: dotted;"">{c19vac2dec}            </td> <td style=""width: 19.6486%; border-color: #c2e0f4; border-style: dotted;"">Decline to answer</td> <td style=""width: 24.2812%; border-color: #c2e0f4; border-style: dotted;"">{c19vac2unk} </td> <td style=""width: 29.8722%; border-color: #c2e0f4; border-style: dotted;"">Unsure/unknown</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,[c19svac2]='1',,,,,,
c19vac2_symptom_warning,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <table style=""border-collapse: collapse; width: 101.01156069364163%; height: 53px; background-color: #ff0000; border-color: #ff0000; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 100%; height: 35px; background-color: #ff0000; text-align: left;""><span style=""color: #ffffff;"">It appears you have selected a symptom AND selected 'Decline to Answer' or 'Unknown'. Please reset your answer(s) so that only one or the other are selected.</span></td> </tr> </tbody> </table> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> </div> </div> </div> </div></div>","1,",,,,,,"([c19vac1arm]='1' or [c19vac1flu]='1' or [c19vac1mem]='1') and ([c19vac1dec]='1' or [c19vac1unk]='1')",y,LV,,,,@READONLY
c19vac2dec,form_f2_covid_impact_survey_participant,,radio,"Which of the following symptoms did you experience after your second vaccine: Decline to answer","1,",,,,,,[c19svac2]='1',,LV,,,,
c19vac2unk,form_f2_covid_impact_survey_participant,,radio,"Which of the following symptoms did you experience after your second vaccine: Unknown","1,",,,,,,[c19svac2]='1',,LV,,,,
c19vac2arm,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>Which of the following symptoms did you experience after your second vaccine: Sore arm</p></div>","1,",,,,,,[c19svac2]='1',,LV,,,,
c19vac2ady,form_f2_covid_impact_survey_participant,,text,"Number of days sore arm lasted",,,number,,,,"[c19vac2arm] = '1'",,LV,,,,"@PLACEHOLDER='(999 = Uncertain, 777 = Continued through now)'"
c19vac2ady_label,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Number of days sore arm lasted <span style=""font-size: xx-small;""><em><span style=""color: #e03e2d;"">* must provide value</span></em></span></p></div>",,,,,,,"[c19vac2arm] = '1'",,,,,,
c19vac2flu,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>Which of the following symptoms did you experience after your second vaccine: Flu-like feelings (fever, chills, tiredness, or ""malaise"")</p></div>","1,",,,,,,[c19svac2]='1',,LV,,,,
c19vac2fdy,form_f2_covid_impact_survey_participant,,text,"<div class=""rich-text-field-label""><p>Number of days flu-like feelings lasted <span style=""font-size: xx-small;""><em><span style=""color: #e03e2d;"">* must provide value</span></em></span></p></div>",,,number,,,,"[c19vac2flu] = '1'",y,LV,,,,"@PLACEHOLDER='(999 = Uncertain, 777 = Continued through now)'"
c19vac2fdy_label,form_f2_covid_impact_survey_participant,,descriptive,"Number of days flu-like feelings lasted",,,,,,,"[c19vac2flu] = '1'",,,,,,
c19vac2mem,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>Which of the following symptoms did you experience after your second vaccine: New problems with memory, thinking, or concentration</p></div>","1,",,,,,,[c19svac2]='1',,LV,,,,
c19vac2mdy,form_f2_covid_impact_survey_participant,,text,"<div class=""rich-text-field-label""><p>Number of days new problems with memory, thinking, or concentration lasted <span style=""font-size: xx-small;""><em><span style=""color: #e03e2d;"">* must provide value</span></em></span></p></div>",,,number,,,,"[c19vac2mem] = '1'",y,LV,,,,"@PLACEHOLDER='(999 = Uncertain, 777 = Continued through now)'"
c19vac2mdy_label,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Number of days new problems with memory, thinking, or concentration lasted <span style=""font-size: xx-small;""><em><span style=""color: #e03e2d;"">* must provide value</span></em></span></p></div>",,,,,,,"[c19vac2mem] = '1'",,,,,,
booster_1_mo_yr_table,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>When did you receive your first COVID-19 booster (month/year): <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 61.29%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19bst1mo}</td> <td style=""width: 50%;"">{c19bst1yr}</td> </tr> </tbody> </table> <p> <br /> </p></div>",,,,,,,"[c19nvac]='4' or [c19nvac]='5' or [c19nvac]='6' or [c19nvac]='7'",,,,,,
c19bst1mo,form_f2_covid_impact_survey_participant,,dropdown,"month of first booster","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December| 88, Decline to answer | 99, Unknown",,autocomplete,,,,"[c19nvac]='4' or [c19nvac]='5' or [c19nvac]='6' or [c19nvac]='7'",y,LV,,,,@PLACEHOLDER='Month'
c19bst1yr,form_f2_covid_impact_survey_participant,,dropdown,"Year of first booster","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027 | 8888, Decline to answer | 9999, Unknown",,autocomplete,,,,"[c19nvac]='4' or [c19nvac]='5' or [c19nvac]='6' or [c19nvac]='7'",y,LV,,,,@PLACEHOLDER='Year'
c19tbst1,form_f2_covid_impact_survey_participant,,radio,"Which COVID-19 vaccine did you receive?","1, Pfizer | 2, Moderna | 3, Other {c19tbst1ox} | 8, Decline to answer | 9, Unsure/unknown",,,,,,"[c19nvac]='4' or [c19nvac]='5' or [c19nvac]='6' or [c19nvac]='7'",y,LV,,,,
c19tbst1ox,form_f2_covid_impact_survey_participant,,text,"Brand name of other booster 1",,,,,,,[c19tbst1]='3',,LV,,,,"@PLACEHOLDER='Please specify the brand'"
c19sbst1,form_f2_covid_impact_survey_participant,,radio,"Did you experience any symptoms within 5 days of your first COVID-19 booster vaccination?","0, No | 1, Yes | 8, Decline to answer | 9, Unsure/unknown",,,,,,"[c19nvac]='4' or [c19nvac]='5' or [c19nvac]='6' or [c19nvac]='7'",y,LV,,,,
c19sbst1_table,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Which of the following symptoms did you experience after your first booster vaccination? (SELECT ALL THAT APPLY)</p> <table style=""border-collapse: collapse; width: 90.7652%; height: 123.2px;"" border=""0""> <tbody> <tr style=""height: 17.6px;""> <td style=""width: 7.46047%;""> </td> <td style=""width: 10%; height: 17.6px; border-color: #c2e0f4; border-style: dotted;"">{c19bst1arm}</td> <td style=""width: 32.2229%; border-color: #c2e0f4; border-style: dotted;""> <p>Sore arm</p> </td> <td style=""width: 50.3186%; border-color: #c2e0f4; border-style: none;""> <p>{c19bst1ady_label} {c19bst1ady}</p> </td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 7.46047%;""> </td> <td style=""width: 10%; height: 17.6px; border-color: #c2e0f4; border-style: dotted;"">{c19bst1flu} </td> <td style=""width: 32.2229%; border-color: #c2e0f4; border-style: dotted;""> <p>Flu-like feelings <em>(fever, chills, tiredness, or ""malaise"")</em></p> </td> <td style=""width: 50.3186%; border-color: #c2e0f4; border-style: none;""> <p>{c19bst1fdy_label} {c19bst1fdy}</p> </td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 7.46047%;""> </td> <td style=""width: 10%; height: 17.6px; border-color: #c2e0f4; border-style: dotted;"">{c19bst1mem} </td> <td style=""width: 32.2229%; border-color: #c2e0f4; border-style: dotted;""> <p>New problems with memory, thinking, or concentration</p> </td> <td style=""width: 50.3186%; border-color: #c2e0f4; border-style: none;""> <p>{c19bst1mdy_label} {c19bst1mdy}</p> </td> </tr> </tbody> </table> <p style=""text-align: left; padding-left: 160px;"">or</p> <table style=""border-collapse: collapse; width: 90.1899%; height: 17.6px;"" border=""0""> <tbody> <tr style=""height: 17.6px;""> <td style=""width: 7.02188%;""> </td> <td style=""width: 19.1762%; height: 17.6px; border-color: #c2e0f4; border-style: dotted;"">{c19bst1dec}            </td> <td style=""width: 19.6486%; border-color: #c2e0f4; border-style: dotted;"">Decline to answer</td> <td style=""width: 24.2812%; border-color: #c2e0f4; border-style: dotted;"">{c19bst1unk} </td> <td style=""width: 29.8722%; border-color: #c2e0f4; border-style: dotted;"">Unsure/unknown</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,[c19sbst1]='1',,,,,,
c19bst1_symptom_warning,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <table style=""border-collapse: collapse; width: 101.01156069364163%; height: 53px; background-color: #ff0000; border-color: #ff0000; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 100%; height: 35px; background-color: #ff0000; text-align: left;""><span style=""color: #ffffff;"">It appears you have selected a symptom AND selected 'Decline to Answer' or 'Unknown'. Please reset your answer(s) so that only one or the other are selected.</span></td> </tr> </tbody> </table> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> </div> </div> </div> </div></div>","1,",,,,,,"([c19vac1arm]='1' or [c19vac1flu]='1' or [c19vac1mem]='1') and ([c19vac1dec]='1' or [c19vac1unk]='1')",y,LV,,,,@READONLY
c19bst1dec,form_f2_covid_impact_survey_participant,,radio,"Which of the following symptoms did you experience after your first booster vaccination: Decline to answer","1,",,,,,,[c19sbst1]='1',,LH,,,,
c19bst1unk,form_f2_covid_impact_survey_participant,,radio,"Which of the following symptoms did you experience after your first booster vaccination: Unknown","1,",,,,,,[c19sbst1]='1',,LV,,,,
c19bst1arm,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>Which of the following symptoms did you experience after your first booster vaccination: Sore arm</p></div>","1,",,,,,,[c19sbst1]='1',,LV,,,,
c19bst1ady,form_f2_covid_impact_survey_participant,,text,"Number of days sore arm lasted",,,number,,,,[c19bst1arm]='1',y,LV,,,,"@PLACEHOLDER='(999 = Uncertain, 777 = Continued through now)'"
c19bst1ady_label,form_f2_covid_impact_survey_participant,,text,"<div class=""rich-text-field-label""><p>Number of days sore arm lasted <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p></div>",,,number,,,,[c19bst1arm]='1',y,LV,,,,
c19bst1flu,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>Which of the following symptoms did you experience after your first booster vaccination: Flu-like feelings (fever, chills, tiredness, or ""malaise"")</p></div>","1,",,,,,,[c19sbst1]='1',,LV,,,,
c19bst1fdy,form_f2_covid_impact_survey_participant,,text,"Number of days flu-like feelings lasted",,,number,,,,"[c19bst1flu] = '1'",y,LV,,,,"@PLACEHOLDER='(999 = Uncertain, 777 = Continued through now)'"
c19bst1fdy_label,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Number of days flu-like feelings lasted <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p></div>",,,,,,,"[c19bst1flu] = '1'",,,,,,
c19bst1mem,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>Which of the following symptoms did you experience after your first booster vaccination: New problems with memory, thinking, or concentration</p></div>","1,",,,,,,[c19sbst1]='1',,LV,,,,
c19bst1mdy,form_f2_covid_impact_survey_participant,,text,"Number of days new problems with memory, thinking, or concentration lasted",,,number,,,,"[c19bst1mem] = '1'",y,LV,,,,"@PLACEHOLDER='(999 = Uncertain, 777 = Continued through now)'"
c19bst1mdy_label,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>Number of days new problems with memory, thinking, or concentration lasted <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p></div>",,,,,,,"[c19bst1mem] = '1'",,,,,,
booster_2_mo_yr_table,form_f2_covid_impact_survey_participant,,descriptive,"<div class=""rich-text-field-label""><p>When was your most recent COVID-19 vaccination/booster (month/year)? <span style=""font-size: xx-small;""><span style=""color: #e03e2d;"">*must provide value</span></span></p> <table style=""border-collapse: collapse; width: 61.29%;"" border=""0""> <tbody> <tr> <td style=""width: 50%;"">{c19bstrmo}</td> <td style=""width: 50%;"">{c19bstryr}</td> </tr> </tbody> </table> <p><br /><br /></p></div>",,,,,,,"[c19nvac]='6' or [c19nvac]='7'",,,,,,
c19bstrmo,form_f2_covid_impact_survey_participant,,dropdown,"month of second booster","01, January | 02, February | 03, March | 04, April | 05, May | 06, June | 07, July | 08, August | 09, September | 10, October | 11, November | 12, December| 88, Decline to answer | 99, Unknown",,autocomplete,,,,"[c19nvac]='6' or [c19nvac]='7'",y,LV,,,,@PLACEHOLDER='Month'
c19bstryr,form_f2_covid_impact_survey_participant,,dropdown,"Year of second booster","2019, 2019 | 2020, 2020 | 2021, 2021 | 2022, 2022 | 2023, 2023 | 2024, 2024 | 2025, 2025 | 2026, 2026 | 2027, 2027 | 8888, Decline to answer | 9999, Unknown",,autocomplete,,,,"[c19nvac]='6' or [c19nvac]='7'",y,LV,,,,@PLACEHOLDER='Year'
q10timestamp,form_f2_covid_impact_survey_participant,,text,"Question 10 timestamp",,,datetime_ymd,,,,,y,LV,,,,"@NOW-SERVER @HIDDEN-SURVEY"
c19vhelp,form_f2_covid_impact_survey_participant," ",radio,"Do you need help in setting up a COVID vaccination for yourself?","0, No | 1, Yes (Center will provide information) | 8, Decline to answer | 9, Unsure/unknown",,,,,,,y,LV,,,,
c19worry,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>On a scale of 1-5, how worried are you that you will get COVID-19 (or, if previously infected, worried that you will get it again)?</p></div>","1, 1 = Not at all worried | 2, 2 = A little worried | 3, 3 = Somewhat worried | 4, 4 = Very worried | 5, 5 = Extremely worried | 8, Decline to answer",,,,,,,y,LV,,,,
c19dis,form_f2_covid_impact_survey_participant,,radio,"On a scale of 1-5, how disruptive has the COVID-19 pandemic been to your everyday life?","1, 1 = Not at all disruptive | 2, 2 = A little disruptive | 3, 3 = Somewhat disruptive | 4, 4 = Very disruptive | 5, 5 = Extremely disruptive | 8, Decline to answer",,,,,,,y,LV,,,,
c19copest,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>On a scale of 1-6 (with 1 being ""I can shake off stress"" and 6 being ""Stress eats away at me"") how would you rate your ability to handle stress?</p></div>","1, 1= I can shake off stress | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6= Stress eats away at me | 8, Decline to answer",,,,,,,y,LV,,,,
c19amst,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>In the past year, on a scale of 1-6 with 1 being ""no stress"" and 6 being ""extreme stress"" how would you rate the amount of stress in your life (at home and at work)?</p></div>","1, 1= No Stress | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6= Extreme Stress | 8, Decline to answer",,,,,,,y,LV,,,,
c19pre,form_f2_covid_impact_survey_participant,,radio,"<div class=""rich-text-field-label""><p>On a scale of 1-5, how much has COVID-19 changed your willingness to participate in clinical research if it requires in-person visits to the research clinic?</p></div>","1, 1 = Not at all | 2, 2 = A little | 3, 3 = Somewhat | 4, 4 = Very | 5, 5 = Extremely | 8, Decline to answer",,,,,,,y,LV,,,,
