form_name,packet,question,var_name,missingness,missingness,conformity,response_labels,data_type,branching_logic
a3,I,2e2. Sibling 5 — Age at death,SIB5AGD,7,Conditional (e.g. skip pattern),"0-110, 888, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|888, 888 = NA|999, 999 = Uknown",Integer,[sibs]>0 and [sibs]<77
a3,I,2e3. Sibling 5 — Primary dx,SIB5ETPR,8,Conditional (e.g. skip pattern),"00-12, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",Integer,[sibs]>0 and [sibs]<77
a3,I,2e4. Sibling 5 — Secondary dx,SIB5ETSEC,9,Conditional (e.g. skip pattern),"00-12, 88, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|88, No secondary diagnosis|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",Integer,([sibs]>0 and [sibs]<77) or [sib5etpr]='00' or [sib5etpr]='99'
a3,I,2e5. Sibling 5 — Method of evaluation,SIB5MEVAL,9,Conditional (e.g. skip pattern),Integers 1-4,"1, Participant /family report|2, Medical records|3, Exam (co-enrolled family members)|4, Autopsy (if autopsy report available)",Integer,([sibs]>0 and [sibs]<77) or [sib5etpr]='00' or [sib5etpr]='99'
a3,I,2e6. Sibling 5 — Age of onset of primary dx,SIB5AGO,7,Conditional (e.g. skip pattern),"0-110, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|999, 999 = Uknown",Integer,([sibs]>0 and [sibs]<77) or [sib5etpr]='00' or [sib5etpr]='99'
a3,I,2f1. Sibling 6 — Birth year,SIB6YOB,7,Conditional (e.g. skip pattern),"1875 to current year, 9999","1875 to current year, 9999 = Unknown",Integer,[sibs]>0 and [sibs]<77
a3,I,2f2. Sibling 6 — Age at death,SIB6AGD,7,Conditional (e.g. skip pattern),"0-110, 888, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|888, 888 = NA|999, 999 = Uknown",Integer,[sibs]>0 and [sibs]<77
a3,I,2f3. Sibling 6 — Primary dx,SIB6ETPR,8,Conditional (e.g. skip pattern),"00-12, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",Integer,[sibs]>0 and [sibs]<77
a3,I,2f4. Sibling 6 — Secondary dx,SIB6ETSEC,9,Conditional (e.g. skip pattern),"00-12, 88, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|88, No secondary diagnosis|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",Integer,([sibs]>0 and [sibs]<77) or [sib6etpr]='00' or [sib6etpr]='99'
a3,I,2f5. Sibling 6 — Method of evaluation,SIB6MEVAL,9,Conditional (e.g. skip pattern),Integers 1-4,"1, Participant /family report|2, Medical records|3, Exam (co-enrolled family members)|4, Autopsy (if autopsy report available)",Integer,([sibs]>0 and [sibs]<77) or [sib6etpr]='00' or [sib6etpr]='99'
a3,I,2f6. Sibling 6 — Age of onset of primary dx,SIB6AGO,7,Conditional (e.g. skip pattern),"0-110, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|999, 999 = Uknown",Integer,([sibs]>0 and [sibs]<77) or [sib6etpr]='00' or [sib6etpr]='99'
a3,I,2g1. Sibling 7 — Birth year,SIB7YOB,7,Conditional (e.g. skip pattern),"1875 to current year, 9999","1875 to current year, 9999 = Unknown",Integer,[sibs]>0 and [sibs]<77
a3,I,2g2. Sibling 7 — Age at death,SIB7AGD,7,Conditional (e.g. skip pattern),"0-110, 888, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|888, 888 = NA|999, 999 = Uknown",Integer,[sibs]>0 and [sibs]<77
a3,I,2g3. Sibling 7 — Primary dx,SIB7ETPR,8,Conditional (e.g. skip pattern),"00-12, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",Integer,[sibs]>0 and [sibs]<77
a3,I,2g4. Sibling 7 — Secondary dx,SIB7ETSEC,9,Conditional (e.g. skip pattern),"00-12, 88, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|88, No secondary diagnosis|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",Integer,([sibs]>0 and [sibs]<77) or [sib7etpr]='00' or [sib7etpr]='99'
a3,I,2g5. Sibling 7 — Method of evaluation,SIB7MEVAL,9,Conditional (e.g. skip pattern),Integers 1-4,"1, Participant /family report|2, Medical records|3, Exam (co-enrolled family members)|4, Autopsy (if autopsy report available)",Integer,([sibs]>0 and [sibs]<77) or [sib7etpr]='00' or [sib7etpr]='99'
a3,I,2g6. Sibling 7 — Age of onset of primary dx,SIB7AGO,7,Conditional (e.g. skip pattern),"0-110, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|999, 999 = Uknown",Integer,([sibs]>0 and [sibs]<77) or [sib7etpr]='00' or [sib7etpr]='99'
a3,I,2h1. Sibling 8 — Birth year,SIB8YOB,7,Conditional (e.g. skip pattern),"1875 to current year, 9999","1875 to current year, 9999 = Unknown",Integer,[sibs]>0 and [sibs]<77
a3,I,2h2. Sibling 8 — Age at death,SIB8AGD,7,Conditional (e.g. skip pattern),"0-110, 888, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|888, 888 = NA|999, 999 = Uknown",Integer,[sibs]>0 and [sibs]<77
a3,I,2h3. Sibling 8 — Primary dx,SIB8ETPR,8,Conditional (e.g. skip pattern),"00-12, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",Integer,[sibs]>0 and [sibs]<77
a3,I,2h4. Sibling 8 — Secondary dx,SIB8ETSEC,9,Conditional (e.g. skip pattern),"00-12, 88, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|88, No secondary diagnosis|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",Integer,([sibs]>0 and [sibs]<77) or [sib8etpr]='00' or [sib8etpr]='99'
a3,I,2h5. Sibling 8 — Method of evaluation,SIB8MEVAL,9,Conditional (e.g. skip pattern),Integers 1-4,"1, Participant /family report|2, Medical records|3, Exam (co-enrolled family members)|4, Autopsy (if autopsy report available)",Integer,([sibs]>0 and [sibs]<77) or [sib8etpr]='00' or [sib8etpr]='99'
a3,I,2h6. Sibling 8 — Age of onset of primary dx,SIB8AGO,7,Conditional (e.g. skip pattern),"0-110, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|999, 999 = Uknown",Integer,([sibs]>0 and [sibs]<77) or [sib8etpr]='00' or [sib8etpr]='99'
a3,I,2i1. Sibling 9 — Birth year,SIB9YOB,7,Conditional (e.g. skip pattern),"1875 to current year, 9999","1875 to current year, 9999 = Unknown",Integer,[sibs]>0 and [sibs]<77
a3,I,2i2. Sibling 9 — Age at death,SIB9AGD,7,Conditional (e.g. skip pattern),"0-110, 888, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|888, 888 = NA|999, 999 = Uknown",Integer,[sibs]>0 and [sibs]<77
a3,I,2i3. Sibling 9 — Primary dx,SIB9ETPR,8,Conditional (e.g. skip pattern),"00-12, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",Integer,[sibs]>0 and [sibs]<77
a3,I,2i4. Sibling 9 — Secondary dx,SIB9ETSEC,9,Conditional (e.g. skip pattern),"00-12, 88, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|88, No secondary diagnosis|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",Integer,([sibs]>0 and [sibs]<77) or [sib9etpr]='00' or [sib9etpr]='99'
a3,I,2i5. Sibling 9 — Method of evaluation,SIB9MEVAL,9,Conditional (e.g. skip pattern),Integers 1-4,"1, Participant /family report|2, Medical records|3, Exam (co-enrolled family members)|4, Autopsy (if autopsy report available)",Integer,([sibs]>0 and [sibs]<77) or [sib9etpr]='00' or [sib9etpr]='99'
a3,I,2i6. Sibling 9 — Age of onset of primary dx,SIB9AGO,7,Conditional (e.g. skip pattern),"0-110, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|999, 999 = Uknown",Integer,([sibs]>0 and [sibs]<77) or [sib9etpr]='00' or [sib9etpr]='99'
a3,I,2j1. Sibling 10 — Birth year,SIB10YOB,8,Conditional (e.g. skip pattern),"1875 to current year, 9999","1875 to current year, 9999 = Unknown",Integer,[sibs]>0 and [sibs]<77
a3,I,2j2. Sibling 10 — Age at death,SIB10AGD,8,Conditional (e.g. skip pattern),"0-110, 888, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|888, 888 = NA|999, 999 = Uknown",Integer,[sibs]>0 and [sibs]<77
a3,I,2j3. Sibling 10 — Primary dx,SIB10ETPR,9,Conditional (e.g. skip pattern),"00-12, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",Integer,[sibs]>0 and [sibs]<77
a3,I,2j4. Sibling 10 — Secondary dx,SIB10ETSEC,10,Conditional (e.g. skip pattern),"00-12, 88, 99","00, No known neurological/psychiatric diagnosis|01, Alzheimer's Disease|02, Lewy Body dementia (includes DLB and PDD)|03, Vascular dementia|04, Stroke|05, FTLD* without motor neuron disease|06, FTLD* with motor neuron disease|07, Motor Neuron Disease|08, Parkinson's Disease|09, Prion pathology|10, Psychiatric condition|11, Dementia of unknown etiology|12, Other|88, No secondary diagnosis|99, Specific diagnosis unknown (acceptable if method of evaluation is not by exam or autopsy)",Integer,([sibs]>0 and [sibs]<77) or [sib10etpr]='00' or [sib10etpr]='99'
a3,I,2j5. Sibling 10 — Method of evaluation,SIB10MEVAL,10,Conditional (e.g. skip pattern),Integers 1-4,"1, Participant /family report|2, Medical records|3, Exam (co-enrolled family members)|4, Autopsy (if autopsy report available)",Integer,([sibs]>0 and [sibs]<77) or [sib10etpr]='00' or [sib10etpr]='99'
a3,I,2j6. Sibling 10 — Age of onset of primary dx,SIB10AGO,8,Conditional (e.g. skip pattern),"0-110, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|999, 999 = Uknown",Integer,([sibs]>0 and [sibs]<77) or [sib10etpr]='00' or [sib10etpr]='99'
a3,I,2k1. Sibling 11 — Birth year,SIB11YOB,8,Conditional (e.g. skip pattern),"1875 to current year, 9999","1875 to current year, 9999 = Unknown",Integer,[sibs]>0 and [sibs]<77
a3,I,2k2. Sibling 11 — Age at death,SIB11AGD,8,Conditional (e.g. skip pattern),"0-110, 888, 999","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|37, 37|38, 38|39, 39|40, 40|41, 41|42, 42|43, 43|44, 44|45, 45|46, 46|47, 47|48, 48|49, 49|50, 50|51, 51|52, 52|53, 53|54, 54|55, 55|56, 56|57, 57|58, 58|59, 59|60, 60|61, 61|62, 62|63, 63|64, 64|65, 65|66, 66|67, 67|68, 68|69, 69|70, 70|71, 71|72, 72|73, 73|74, 74|75, 75|76, 76|77, 77|78, 78|79, 79|80, 80|81, 81|82, 82|83, 83|84, 84|85, 85|86, 86|87, 87|88, 88|89, 89|90, 90|91, 91|92, 92|93, 93|94, 94|95, 95|96, 96|97, 97|98, 98|99, 99|100, 100|101, 101|102, 102|103, 103|104, 104|105, 105|106, 106|107, 107|108, 108|109, 109|110, 110|888, 888 = NA|999, 999 = Uknown",Integer,[sibs]>0 and [sibs]<77
