Conformity_missingness checks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form,Packet,Q#,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
A3,I,3g4,SIB7ETPR,SIB7ETPR conditionally present,if SIBS is (>6 and <77) and SIB7NPSYC is in (1-5) then SIB7ETPR must be present,If Q3. SIBS (How many siblings?) is (>6 and <77) and 3f3. SIB7NPSYC (Sibling 7 neurological/psychological condition) is in (1-5) then Q3f4. SIB7ETPR (Sibling 7 primary dx) must be present,IF SIBS is (>6 and <77) and SIB7NPSYC is in (1-5) and SIB7ETPR=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3g4,SIB7ETPR,SIB7ETPR conditionally blank,"If SIBS is <7, 888 (N/A) or 999 (Unknown) or SIB7NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB7ETPR must be blank","If Q3. SIBS (How many siblings?) is <7, 888 (N/A) or 999 (Unknown) or 3g3. SIB7NPSYC (Sibling 7 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3g4. SIB7ETPRC (Sibling 7 neurological/psychological condition) must be blank",IF ((SIBS is <7 or =888 or =999) or (SIB7NPSYC= 0 or 9)) and SIB7ETPRneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3g4,SIB7ETPR,SIB7ETPR conforms,"SIB7ETPR must be a code between 01 and 09, or =99 (Unknown)","3g4. SIB7ETPR (Sibling 7 primary dx) must be a code between 01 and 09, or =99 (Unknown)",IF SIB7ETPR <01 or (SIB7ETPR >09 and ne 99),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3g5,SIB7MEVAL,SIB7MEVAL conditionally present,if SIBS is (>6 and <77) and SIB7NPSYC is in (1-5) then SIB7MEVAL must be present,if Q3. SIBS (How many siblings?) is (>6 and <77) and 3g3. SIB7NPSYC (Sibling 7 neurological/psychological condition) is in (1-5) then Q3g5. SIB7MEVAL (Sibling 7 method of evaluation) must be present,IF SIBS is (>6 and <77) and SIB7NPSYC in (1-5) and SIB7MEVAL=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3g5,SIB7MEVAL,SIB7MEVAL conditionally blank,"If SIBS is <7, 888 (N/A) or 999 (Unknown) or SIB7NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB7MEVAL must be blank","If Q3. SIBS (How many siblings?) is <7, 888 (N/A) or 999 (Unknown) or 3g3. SIB7NPSYC (Sibling 7 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3g5. SIB7MEVAL (Sibling 7 neurological/psychological condition) must be blank",IF ((SIBS is <7 or =888 or =999) or (SIB7NPSYC= 0 or 9)) and SIB7MEVALneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3g5,SIB7MEVAL,SIB7MEVAL conforms,SIB7MEVAL must be an integer between 1 and 4,Q3g5. SIB7MEVAL (Sibling 7 method of evaluation) must be an integer between 1 and 4,IF SIB7MEVAL <1 or >4,n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3g6,SIB7AGO ,SIB7AGO  conditionally present,if SIBS is (>6 and <77) and SIB7NPSYC is in (1-5) then SIB7AGO  must be present,if Q3. SIBS (How many siblings?) is (>6 and <77) and 3g3. SIB7NPSYC (Sibling 7 neurological/psychological condition) is in (1-5) then Q3g6. SIB7AGO (Sibling 7 age of onset) must be present,IF SIBS is (>6 and <77) and SIB7NPSYC in (1-5) and SIB7AGO =blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3g6,SIB7AGO ,SIB7AGO  conditionally blank,"If SIBS is <7, 888 (N/A) or 999 (Unknown) or SIB7NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB7AGO must be blank","If Q3. SIBS (How many siblings?) is <7, 888 (N/A) or 999 (Unknown) or 3g3. SIB7NPSYC (Sibling 7 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3g6. SIB7AGO (Sibling 7 age of onset) must be blank",IF ((SIBS is <7 or =888 or =999) or (SIB7NPSYC= 0 or 9)) and SIB7AGOneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3g6,SIB7AGO ,SIB7AGO conforms,"SIB7AGO  must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","Q3g6. SIB7AGO (Sibling 7 age of onset) must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF SIB7AGO  <0 or (SIB7AGO  >110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3g6,SIB7AGO ,SIB7AGO cannot be > than SIB7AGD,SIB7AGO must be <= SIB7AGD,Q3g6. SIB7AGO (Sibling 7 age of onset) must be <= Q3g2. SIB7AGD (Sibling X death age),If SIB7AGO > SIB7AGD,n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h1,SIB8YOB,SIB8YOB conditionally present,if SIBS is (>7 and <77) then SIB8YOB must be present,if Q3. SIBS (How many siblings?) is (>7 and <77) then Q3h1. SIB8YOB (Sibling 8 birth year) must be present,IF SIBS is (>7 and <77) and SIB8YOB=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h1,SIB8YOB,SIB8YOB conditionally blank,"If SIBS is <8, 888 (N/A) or 999 (Unknown) then SIB8YOB must be blank","If Q3. SIBS (How many siblings?) is <8, 888 (N/A) or 999 (Unknown) then Q3h1. SIB8YOB (Sibling 8 birth year) must be blank",IF (SIBS is <8 or =888 or =999) and SIB8YOBneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h1,SIB8YOB,SIB8YOB conforms,"SIB8YOB must be a year between 1875 and the current year, or =9999 (Unknown)","3h1. SIB8YOB (Sibling 8 birth year) must be a year between 1875 and the current year, or =9999 (Unknown)",IF  SIB8YOB<1875 or (SIB8YOB> current year and ne 9999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h2,SIB8AGD,SIB8AGD conditionally present,if SIBS is (>7 and <77) then SIB8AGD must be present,if Q3. SIBS (How many siblings?) is (>7 and <77) then Q3h2. SIB8AGD (Sibling 8 death age) must be present,IF SIBS is (>7 and <77) and SIB8AGD=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h2,SIB8AGD,SIB8AGD conditionally blank,"If SIBS is <8, 888 (N/A) or 999 (Unknown) then SIB8AGD must be blank","If Q3. SIBS (How many siblings?) is <8, 888 (N/A) or 999 (Unknown) then Q3h2. SIBXAGD (Sibling X death age) must be blank",IF (SIBS is <8 or =888 or =999) and SIB8AGDneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h2,SIB8AGD,SIB8AGD conforms,"SIB8AGD must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","Q3h2. SIB8AGD (Sibling 8 death age) must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF SIB8AGD <0 or (SIB8AGD >110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h3,SIB8NPSYC,SIB8NPSYC conditionally present,if SIBS is (>7 and <77) then SIB8NPSYC must be present,if Q3. SIBS (How many siblings?) is (>7 and <77) then Q3h3. SIB8NPSYC (Sibling 8 neurological/psychological condition) must be present,IF SIBS is (>7 and <77) and SIB8NPSYC=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h3,SIB8NPSYC,SIB8NPSYC conditionally blank,"If SIBS is <8, 888 (N/A) or 999 (Unknown) then SIB8NPSYC must be blank","If Q3. SIBS (How many siblings?) is <8, 888 (N/A) or 999 (Unknown) then Q3h3. SIB8NPSYC (Sibling 8 neurological/psychological condition) must be blank",IF (SIBS is <8 or =888 or =999) and SIB8NPSYCneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h3,SIB8NPSYC,SIB8NPSYC conforms,"SIB8NPSYC must be an integer between 0 and 5, or =9 (Unknown)","Q3h3. SIB8NPSYC (Sibling 8 neurological/psychological condition) must be an integer between 0 and 5, or =9 (Unknown)",IF SIB8NPSYC <0 or (SIB8NPSYC >5 and ne 9),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h4,SIB8ETPR,SIB8ETPR conditionally present,if SIBS is (>7 and <77) and SIB8NPSYC is in (1-5) then SIB8ETPR must be present,If Q3. SIBS (How many siblings?) is (>7 and <77) and 3h3. SIB8NPSYC (Sibling 8 neurological/psychological condition) is in (1-5) then Q3h4. SIB8ETPR (Sibling 8 primary dx) must be present,IF SIBS is (>7 and <77) and SIB8NPSYC is in (1-5) and SIB8ETPR=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h4,SIB8ETPR,SIB8ETPR conditionally blank,"If SIBS is <8, 888 (N/A) or 999 (Unknown) or SIB8NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB8ETPR must be blank","If Q3. SIBS (How many siblings?) is <8, 888 (N/A) or 999 (Unknown) or 3h3. SIB8NPSYC (Sibling 8 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3h4. SIB8ETPRC (Sibling 8 neurological/psychological condition) must be blank",IF ((SIBS is <8 or =888 or =999) or (SIB8NPSYC= 0 or 9)) and SIB8ETPRneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h4,SIB8ETPR,SIB8ETPR conforms,"SIB8ETPR must be a code between 01 and 09, or =99 (Unknown)","3h4. SIB8ETPR (Sibling 8 primary dx) must be a code between 01 and 09, or =99 (Unknown)",IF SIB8ETPR <01 or (SIB8ETPR >09 and ne 99),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h5,SIB8MEVAL,SIB8MEVAL conditionally present,if SIBS is (>7 and <77) and SIB8NPSYC is in (1-5) then SIB8MEVAL must be present,if Q3. SIBS (How many siblings?) is (>7 and <77) and 3h3. SIB8NPSYC (Sibling 8 neurological/psychological condition) is in (1-5) then Q3h5. SIB8MEVAL (Sibling 8 method of evaluation) must be present,IF SIBS is (>7 and <77) and SIB8NPSYC in (1-5) and SIB8MEVAL=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h5,SIB8MEVAL,SIB8MEVAL conditionally blank,"If SIBS is <8, 888 (N/A) or 999 (Unknown) or SIB8NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB8MEVAL must be blank","If Q3. SIBS (How many siblings?) is <8, 888 (N/A) or 999 (Unknown) or 3h3. SIB8NPSYC (Sibling 8 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3h5. SIB8MEVAL (Sibling 8 neurological/psychological condition) must be blank",IF ((SIBS is <8 or =888 or =999) or (SIB8NPSYC= 0 or 9)) and SIB8MEVALneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h5,SIB8MEVAL,SIB8MEVAL conforms,SIB8MEVAL must be an integer between 1 and 4,Q3h5. SIB8MEVAL (Sibling 8 method of evaluation) must be an integer between 1 and 4,IF SIB8MEVAL <1 or >4,n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h6,SIB8AGO ,SIB8AGO  conditionally present,if SIBS is (>7 and <77) and SIB8NPSYC is in (1-5) then SIB8AGO  must be present,if Q3. SIBS (How many siblings?) is (>7 and <77) and 3h3. SIB8NPSYC (Sibling 8 neurological/psychological condition) is in (1-5) then Q3h6. SIB8AGO (Sibling 8 age of onset) must be present,IF SIBS is (>7 and <77) and SIB8NPSYC in (1-5) and SIB8AGO =blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h6,SIB8AGO ,SIB8AGO  conditionally blank,"If SIBS is <8, 888 (N/A) or 999 (Unknown) or SIB8NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB8AGO must be blank","If Q3. SIBS (How many siblings?) is <8, 888 (N/A) or 999 (Unknown) or 3h3. SIB8NPSYC (Sibling 8 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3h6. SIB8AGO (Sibling 8 age of onset) must be blank",IF ((SIBS is <8 or =888 or =999) or (SIB8NPSYC= 0 or 9)) and SIB8AGOneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h6,SIB8AGO ,SIB8AGO conforms,"SIB8AGO  must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","Q3h6. SIB8AGO (Sibling 8 age of onset) must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF SIB8AGO  <0 or (SIB8AGO  >110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3h6,SIB8AGO ,SIB8AGO cannot be > than SIB8AGD,SIB8AGO must be <= SIB8AGD,Q3h6. SIB8AGO (Sibling 8 age of onset) must be <= Q3h2. SIB8AGD (Sibling 8 death age),If SIB8AGO > SIB8AGD,n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i1,SIB9YOB,SIB9YOB conditionally present,if SIBS is (>8 and <77) then SIB9YOB must be present,if Q3. SIBS (How many siblings?) is (>8 and <77) then Q3i1. SIB9YOB (Sibling 9 birth year) must be present,IF SIBS is (>8 and <77) and SIB9YOB=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i1,SIB9YOB,SIB9YOB conditionally blank,"If SIBS is <9, 888 (N/A) or 999 (Unknown) then SIB9YOB must be blank","If Q3. SIBS (How many siblings?) is <9, 888 (N/A) or 999 (Unknown) then Q3i1. SIB9YOB (Sibling 9 birth year) must be blank",IF (SIBS is <9 or =888 or =999) and SIB9YOBneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i1,SIB9YOB,SIB9YOB conforms,"SIB9YOB must be a year between 1875 and the current year, or =9999 (Unknown)","3i1. SIB9YOB (Sibling 9 birth year) must be a year between 1875 and the current year, or =9999 (Unknown)",IF  SIB9YOB<1875 or (SIB9YOB> current year and ne 9999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i2,SIB9AGD,SIB9AGD conditionally present,if SIBS is (>8 and <77) then SIB9AGD must be present,if Q3. SIBS (How many siblings?) is (>8 and <77) then Q3i2. SIB9AGD (Sibling 9 death age) must be present,IF SIBS is (>8 and <77) and SIB9AGD=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i2,SIB9AGD,SIB9AGD conditionally blank,"If SIBS is <9, 888 (N/A) or 999 (Unknown) then SIB9AGD must be blank","If Q3. SIBS (How many siblings?) is <9, 888 (N/A) or 999 (Unknown) then Q3i2. SIBXAGD (Sibling X death age) must be blank",IF (SIBS is <9 or =888 or =999) and SIB9AGDneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i2,SIB9AGD,SIB9AGD conforms,"SIB9AGD must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","Q3i2. SIB9AGD (Sibling 9 death age) must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF SIB9AGD <0 or (SIB9AGD >110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i3,SIB9NPSYC,SIB9NPSYC conditionally present,if SIBS is (>8 and <77) then SIB9NPSYC must be present,if Q3. SIBS (How many siblings?) is (>8 and <77) then Q3i3. SIB9NPSYC (Sibling 9 neurological/psychological condition) must be present,IF SIBS is (>8 and <77) and SIB9NPSYC=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i3,SIB9NPSYC,SIB9NPSYC conditionally blank,"If SIBS is <9, 888 (N/A) or 999 (Unknown) then SIB9NPSYC must be blank","If Q3. SIBS (How many siblings?) is <9, 888 (N/A) or 999 (Unknown) then Q3i3. SIB9NPSYC (Sibling 9 neurological/psychological condition) must be blank",IF (SIBS is <9 or =888 or =999) and SIB9NPSYCneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i3,SIB9NPSYC,SIB9NPSYC conforms,"SIB9NPSYC must be an integer between 0 and 5, or =9 (Unknown)","Q3i3. SIB9NPSYC (Sibling 9 neurological/psychological condition) must be an integer between 0 and 5, or =9 (Unknown)",IF SIB9NPSYC <0 or (SIB9NPSYC >5 and ne 9),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i4,SIB9ETPR,SIB9ETPR conditionally present,if SIBS is (>8 and <77) and SIB9NPSYC is in (1-5) then SIB9ETPR must be present,If Q3. SIBS (How many siblings?) is (>8 and <77) and 3i3. SIB9NPSYC (Sibling 9 neurological/psychological condition) is in (1-5) then Q3i4. SIB9ETPR (Sibling 9 primary dx) must be present,IF SIBS is (>8 and <77) and SIB9NPSYC is in (1-5) and SIB9ETPR=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i4,SIB9ETPR,SIB9ETPR conditionally blank,"If SIBS is <9, 888 (N/A) or 999 (Unknown) or SIB9NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB9ETPR must be blank","If Q3. SIBS (How many siblings?) is <9, 888 (N/A) or 999 (Unknown) or 3i3. SIB9NPSYC (Sibling 9 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3i4. SIB9ETPRC (Sibling 9 neurological/psychological condition) must be blank",IF ((SIBS is <9 or =888 or =999) or (SIB9NPSYC= 0 or 9)) and SIB9ETPRneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i4,SIB9ETPR,SIB9ETPR conforms,"SIB9ETPR must be a code between 01 and 09, or =99 (Unknown)","3i4. SIB9ETPR (Sibling 9 primary dx) must be a code between 01 and 09, or =99 (Unknown)",IF SIB9ETPR <01 or (SIB9ETPR >09 and ne 99),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i5,SIB9MEVAL,SIB9MEVAL conditionally present,if SIBS is (>8 and <77) and SIB9NPSYC is in (1-5) then SIB9MEVAL must be present,if Q3. SIBS (How many siblings?) is (>8 and <77) and 3i3. SIB9NPSYC (Sibling 9 neurological/psychological condition) is in (1-5) then Q3i5. SIB9MEVAL (Sibling 9 method of evaluation) must be present,IF SIBS is (>8 and <77) and SIB9NPSYC in (1-5) and SIB9MEVAL=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i5,SIB9MEVAL,SIB9MEVAL conditionally blank,"If SIBS is <9, 888 (N/A) or 999 (Unknown) or SIB9NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB9MEVAL must be blank","If Q3. SIBS (How many siblings?) is <9, 888 (N/A) or 999 (Unknown) or 3i3. SIB9NPSYC (Sibling 9 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3i5. SIB9MEVAL (Sibling 9 neurological/psychological condition) must be blank",IF ((SIBS is <9 or =888 or =999) or (SIB9NPSYC= 0 or 9)) and SIB9MEVALneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i5,SIB9MEVAL,SIB9MEVAL conforms,SIB9MEVAL must be an integer between 1 and 4,Q3z5. SIB9MEVAL (Sibling 9 method of evaluation) must be an integer between 1 and 4,IF SIB9MEVAL <1 or >4,n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i6,SIB9AGO ,SIB9AGO  conditionally present,if SIBS is (>8 and <77) and SIB9NPSYC is in (1-5) then SIB9AGO  must be present,if Q3. SIBS (How many siblings?) is (>8 and <77) and 3i3. SIB9NPSYC (Sibling 9 neurological/psychological condition) is in (1-5) then Q3i6. SIB9AGO (Sibling 9 age of onset) must be present,IF SIBS is (>8 and <77) and SIB9NPSYC in (1-5) and SIB9AGO =blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i6,SIB9AGO ,SIB9AGO  conditionally blank,"If SIBS is <9, 888 (N/A) or 999 (Unknown) or SIB9NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB9AGO must be blank","If Q3. SIBS (How many siblings?) is <9, 888 (N/A) or 999 (Unknown) or 3i3. SIB9NPSYC (Sibling 9 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3i6. SIB9AGO (Sibling 9 age of onset) must be blank",IF ((SIBS is <9 or =888 or =999) or (SIB9NPSYC= 0 or 9)) and SIB9AGOneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i6,SIB9AGO ,SIB9AGO conforms,"SIB9AGO  must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","Q3i6. SIB9AGO (Sibling 9 age of onset) must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF SIB9AGO  <0 or (SIB9AGO  >110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3i6,SIB9AGO ,SIB9AGO cannot be > than SIB9AGD,SIB9AGO must be <= SIB9AGD,Q3i6. SIB9AGO (Sibling 9 age of onset) must be <= Q3i2. SIB9AGD (Sibling 9 death age),If SIB9AGO > SIB9AGD,n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3j1,SIB10YOB,SIB10YOB conditionally present,if SIBS is (>9 and <77) then SIB10YOB must be present,if Q3. SIBS (How many siblings?) is (>9 and <77) then Q3j1. SIB10YOB (Sibling 10 birth year) must be present,IF SIBS is (>9 and <77) and SIB10YOB=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3j1,SIB10YOB,SIB10YOB conditionally blank,"If SIBS is <9, 888 (N/A) or 999 (Unknown) then SIB10YOB must be blank","If Q3. SIBS (How many siblings?) is <10, 888 (N/A) or 999 (Unknown) then Q3j1. SIB10YOB (Sibling 10 birth year) must be blank",IF (SIBS is <10 or =888 or =999) and SIB10YOBneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3j1,SIB10YOB,SIB10YOB conforms,"SIB10YOB must be a year between 1875 and the current year, or =9999 (Unknown)","3j1. SIB10YOB (Sibling 10 birth year) must be a year between 1875 and the current year, or =9999 (Unknown)",IF  SIB10YOB<1875 or (SIB10YOB> current year and ne 9999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3j2,SIB10AGD,SIB10AGD conditionally present,if SIBS is (>9 and <77) then SIB10AGD must be present,if Q3. SIBS (How many siblings?) is (>9 and <77) then Q3j2. SIB10AGD (Sibling 10 death age) must be present,IF SIBS is (>9 and <77) and SIB10AGD=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3j2,SIB10AGD,SIB10AGD conditionally blank,"If SIBS is <10, 888 (N/A) or 999 (Unknown) then SIB10AGD must be blank","If Q3. SIBS (How many siblings?) is <10, 888 (N/A) or 999 (Unknown) then Q3j2. SIB10AGD (Sibling 10 death age) must be blank",IF (SIBS is <10 or =888 or =999) and SIB10AGDneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3j2,SIB10AGD,SIB10AGD conforms,"SIB10AGD must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)","Q3j2. SIB10AGD (Sibling 10 death age) must be an integer between 0 and 110, or =888 (N/A) or 999 (Unknown)",IF SIB10AGD <0 or (SIB10AGD >110 and ne 888 or 999),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3j3,SIB10NPSYC,SIB10NPSYC conditionally present,if SIBS is (>9 and <77) then SIB10NPSYC must be present,if Q3. SIBS (How many siblings?) is (>9 and <77) then Q3j3. SIB10NPSYC (Sibling 10 neurological/psychological condition) must be present,IF SIBS is (>9 and <77) and SIB10NPSYC=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3j3,SIB10NPSYC,SIB10NPSYC conditionally blank,"If SIBS is <10, 888 (N/A) or 999 (Unknown) then SIB10NPSYC must be blank","If Q3. SIBS (How many siblings?) is <10, 888 (N/A) or 999 (Unknown) then Q3j3. SIB10NPSYC (Sibling 10 neurological/psychological condition) must be blank",IF (SIBS is <10 or =888 or =999) and SIB10NPSYCneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3j3,SIB10NPSYC,SIB10NPSYC conforms,"SIB10NPSYC must be an integer between 0 and 5, or =9 (Unknown)","Q3j3. SIB10NPSYC (Sibling 10 neurological/psychological condition) must be an integer between 0 and 5, or =9 (Unknown)",IF SIB10NPSYC <0 or (SIB10NPSYC >5 and ne 9),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3j4,SIB10ETPR,SIB10ETPR conditionally present,if SIBS is (>9 and <77) and SIB10NPSYC is in (1-5) then SIB10ETPR must be present,If Q3. SIBS (How many siblings?) is (>9 and <77) and 3j3. SIB10NPSYC (Sibling 10 neurological/psychological condition) is in (1-5) then Q3j4. SIB10ETPR (Sibling 10 primary dx) must be present,IF SIBS is (>9 and <77) and SIB10NPSYC is in (1-5) and SIB10ETPR=blank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3j4,SIB10ETPR,SIB10ETPR conditionally blank,"If SIBS is <10, 888 (N/A) or 999 (Unknown) or SIB10NPSYC is 0 (No neurological illness) or 9 (Unknown) then SIB10ETPR must be blank","If Q3. SIBS (How many siblings?) is <10, 888 (N/A) or 999 (Unknown) or 3j3. SIB10NPSYC (Sibling 10 neurological/psychological condition) is 0 (No neurological illness) or 9 (Unknown) then Q3j4. SIB10ETPRC (Sibling 10 neurological/psychological condition) must be blank",IF ((SIBS is <10 or =888 or =999) or (SIB10NPSYC= 0 or 9)) and SIB10ETPRneblank,n/a,n/a,Error,,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
A3,I,3j4,SIB10ETPR,SIB10ETPR conforms,"SIB10ETPR must be a code between 01 and 09, or =99 (Unknown)","3j4. SIB10ETPR (Sibling 10 primary dx) must be a code between 01 and 09, or =99 (Unknown)",IF SIB10ETPR <01 or (SIB10ETPR >09 and ne 99),n/a,n/a,Error,,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
