Form,Packet,Error #,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Error code,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
B3,IVP,79,HANDALTL,HANDALTL conditionally blank,If PDNORMAL is 1 then HANDALTL must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q8b. HANDALTL (Rapid alternating movement - left hand) must be blank,If PDNORMAL = 1 and HANDALTL is not blank,b3-ivp-m-079,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,80,HANDALTL,HANDALTL conforms,HANDALTL must be an integer between 0-4 or 8,Q8b. HANDALTL (Rapid alternating movement - left hand) must be an integer between 0-4 or 8,IF HANDALTL < 0 or (HANDALTL > 4 and not equal to 8),b3-ivp-c-080,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,81,HANDATLX,HANDATLX conditionally present,If HANDALTL is 8 then HANDATLX must be present,If Q8b. HANDALTL (Rapid alternating movement - left hand) is 8 (Untestable) then Q8b1. HANDATLX (Untestable - Specify) must be present,IF HANDALTL = 8 and HANDATLX = blank,b3-ivp-m-081,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,82,LEGRT,LEGRT conditionally present,If PDNORMAL is 0 then LEGRT cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q9a. LEGRT (Leg agility - right leg) cannot be blank,IF PDNORMAL = 0 and LEGRT = blank,b3-ivp-m-082,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,83,LEGRT,LEGRT conditionally blank,If PDNORMAL is 1 then LEGRT must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q9a. LEGRT (Leg agility - right leg) must be blank,If PDNORMAL = 1 and LEGRT is not blank,b3-ivp-m-083,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,84,LEGRT,LEGRT conforms,LEGRT must be an integer between 0-4 or 8,Q9a. LEGRT (Leg agility - right leg) must be an integer between 0-4 or 8,IF LEGRT < 0 or (LEGRT > 4 and not equal to 8),b3-ivp-c-084,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,85,LEGRTX,LEGRTX conditionally present,If LEGRT is 8 then LEGRTX must be present,If Q9a. LEGRT (Leg agility - right leg) is 8 (Untestable) then Q9a1. LEGRTX (Untestable - Specify) must be present,IF LEGRT = 8 and LEGRTX = blank,b3-ivp-m-085,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,86,LEGLF,LEGLF conditionally present,If PDNORMAL is 0 then LEGLF cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q9b. LEGLF (Leg agility - left leg) cannot be blank,IF PDNORMAL = 0 and LEGLF = blank,b3-ivp-m-086,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,87,LEGLF,LEGLF conditionally missing,If PDNORMAL is 1 then LEGLF must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q9b. LEGLF (Leg agility - left leg) must be blank,If PDNORMAL = 1 and LEGLF is not blank,b3-ivp-m-087,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,88,LEGLF,LEGLF conforms,LEGLF must be an integer between 0-4 or 8,Q9b. LEGLF (Leg agility - left leg) must be an integer between 0-4 or 8,IF LEGLF < 0 or (LEGLF > 4 and not equal to 8),b3-ivp-c-088,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,89,LEGLFX,LEGLFX conditionally present,If LEGLF is 8 then LEGLFX must be present,If Q9b. LEGLF (Leg agility - left leg) is 8 (Untestable) then Q9b1. LEGLFX (Untestable - Specify) must be present,IF LEGLF = 8 and LEGLFX = blank,b3-ivp-m-089,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,90,ARISING,ARISING conditionally present,If PDNORMAL is 0 then ARISING cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q10. ARISING (Arising from chair) cannot be blank,IF PDNORMAL = 0 and ARISING = blank,b3-ivp-m-090,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,91,ARISING,ARISING conditionally blank,If PDNORMAL is 1 then ARISING must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q10. ARISING (Arising from chair) must be blank,If PDNORMAL = 1 and ARISING is not blank,b3-ivp-m-091,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,92,ARISING,ARISING conforms,ARISING must be an integer between 0-4 or 8,Q10. ARISING (Arising from chair) must be an integer between 0-4 or 8,IF ARISING < 0 or (ARISING > 4 and not equal to 8),b3-ivp-c-092,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,93,ARISINGX,ARISINGX conditionally present,If ARISING is 8 then ARISINGX must be present,If Q10. ARISING (Arising from chair) is 8 (Untestable) then Q10a. ARISINGX (Untestable - Specify) must be present,IF ARISING = 8 and ARISINGX = blank,b3-ivp-m-093,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,94,POSTURE,POSTURE conditionally present,If PDNORMAL is 0 then POSTURE cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q11. POSTURE (Posture) cannot be blank,IF PDNORMAL = 0 and POSTURE = blank,b3-ivp-m-094,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,95,POSTURE,POSTURE conditionally blank,If PDNORMAL is 1 then POSTURE must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q11. POSTURE (Posture) must be blank,If PDNORMAL = 1 and POSTURE is not blank,b3-ivp-m-095,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,96,POSTURE,POSTURE conforms,POSTURE must be an integer between 0-4 or 8,Q11. POSTURE (Posture) must be an integer between 0-4 or 8,IF POSTURE < 0 or (POSTURE > 4 and not equal to 8),b3-ivp-c-096,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,97,POSTUREX,POSTUREX conditionally present,If POSTURE is 8 then POSTUREX must be present,If Q11. POSTURE (Posture) is 8 (Untestable) then Q11a. POSTUREX (Untestable - Specify) must be present,IF POSTURE = 8 and POSTUREX = blank,b3-ivp-m-097,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,98,GAIT,GAIT conditionally present,If PDNORMAL is 0 then GAIT cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q12. GAIT (Gait) cannot be blank,IF PDNORMAL = 0 and GAIT = blank,b3-ivp-m-098,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,99,GAIT,GAIT conditionally blank,If PDNORMAL is 1 then GAIT must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q12. GAIT (Gait) must be blank,If PDNORMAL = 1 and GAIT is not blank,b3-ivp-m-099,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,100,GAIT,GAIT conforms,GAIT must be an integer between 0-4 or 8,Q12. GAIT (Gait) must be an integer between 0-4 or 8,IF GAIT < 0 or (GAIT > 4 and not equal to 8),b3-ivp-c-100,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,101,GAITX,GAITX conditionally present,If GAIT is 8 then GAITX must be present,If Q12. GAIT (Gait) is 8 (Untestable) then Q12a. GAITX (Untestable - Specify) must be present,IF GAIT = 8 and GAITX = blank,b3-ivp-m-101,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,102,POSSTAB,POSSTAB conditionally present,If PDNORMAL is 0 then POSSTAB cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q13. POSSTAB (Posture stability) cannot be blank,IF PDNORMAL = 0 and POSSTAB = blank,b3-ivp-m-102,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,103,POSSTAB,POSSTAB conditionally blank,If PDNORMAL is 1 then POSSTAB must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q13. POSSTAB (Postural stability) must be blank,If PDNORMAL = 1 and POSSTAB is not blank,b3-ivp-m-103,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,104,POSSTAB,POSSTAB conforms,POSSTAB must be an integer between 0-4 or 8,Q13. POSSTAB (Posture stability) must be an integer between 0-4 or 8,IF POSSTAB < 0 or (POSSTAB > 4 and not equal to 8),b3-ivp-c-104,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,105,POSSTABX,POSSTABX conditionally present,If POSSTAB is 8 then POSSTABX must be present,If Q13. POSSTAB (Posture stability) is 8 (Untestable) then Q13a. POSSTABX (Untestable - Specify) must be present,IF POSSTAB = 8 and POSSTABX = blank,b3-ivp-m-105,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,106,BRADYKIN,BRADYKIN conditionally present,If PDNORMAL is 0 then BRADYKIN cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q14. BRADYKIN (Bradykinesia/hypokinesia) cannot be blank,IF PDNORMAL = 0 and BRADYKIN = blank,b3-ivp-m-106,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,107,BRADYKIN,BRADYKIN conditionally blank,If PDNORMAL is 1 then BRADYKIN must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q14. BRADYKIN (Bradykinesia/hypokinesia) must be blank,If PDNORMAL = 1 and BRADYKIN is not blank,b3-ivp-m-107,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,108,BRADYKIN,BRADYKIN conforms,BRADYKIN must be an integer between 0-4 or 8,Q14. BRADYKIN (Bradykinesia/hypokinesia) must be an integer between 0-4 or 8,IF BRADYKIN < 0 or (BRADYKIN > 4 and not equal to 8),b3-ivp-c-108,n/a,n/a,Error,Yes,Conformity,Yes,
B3,IVP,109,BRADYKIX,BRADYKIX conditionally present,If BRADYKIN is 8 then BRADYKIX must be present,If Q14. BRADYKIN (Bradykinesia/hypokinesia) is 8 (Untestable) then Q14a. BRADYKIX (Untestable - Specify) must be present,IF BRADYKIN = 8 and BRADYKIX = blank,b3-ivp-m-109,n/a,n/a,Error,Yes,Missingness,Yes,
B3,IVP,110,TOTALUPDRS,TOTALUPDRS conditionally present,If PDNORMAL is 0 then TOTALUPDRS cannot be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 0 (No) then Q15. TOTALUPDRS (Total UPDRS Score) cannot be blank,If PDNORMAL = 0 and TOTALUPDRS = blank,b3-ivp-m-110,n/a,n/a,Error,Yes,Missingness,No,
B3,IVP,111,TOTALUPDRS,TOTALUPDRS conditionally blank,If PDNORMAL is 1 then TOTALUPDRS must be blank,If Q0. PDNORMAL (UPDRS examination is normal) = 1 (Yes) then Q15. TOTALUPDRS (Total UPDRS Score) must be blank,If PDNORMAL = 1 and TOTALUPDRS is not blank,b3-ivp-m-111,n/a,n/a,Error,Yes,Missingness,No,
B3,IVP,112,TOTALUPDRS,TOTALUPDRS conforms,TOTALUPDRS must be an integer between 0-108 or 888,Q15. TOTALUPDRS (Total UPDRS Score) must be an integer between 0-108 or 888,If TOTALUPDRS < 0 or (TOTALUPDRS > 108 and not equal to 888),b3-ivp-c-112,n/a,n/a,Error,Yes,Conformity,No,
B3,IVP,113,TOTALUPDRS,TOTALUPDRS conditionally 888=untestable,"If any of SPEECH, FACEXP, TRESTFAC, TRESTRHD, TRESTLHD, TRESTRFT, TRESTLFT, TRACTRHD, TRACTLHD, RIGDNECK, RIGDUPRT, RIGDUPLF, RIGDLORT, RIGDLOLF, TAPSRT, TAPSLF, HANDMOVR, HANDMOVL, HANDALTR, HANDALTL, LEGRT, LEGLF, ARISING, POSTURE, GAIT, POSSTAB, BRADYKIN are 8, then TOTALUPDRS must be 888","If any of Q1. SPEECH (speech), Q2. FACEXP (facial expression), Q3a. TRESTFAC (Tremor at rest - face/lips/chin), Q3b. TRESTRHD (Tremor at rest - right hand, Q3c. TRESTLHD (Tremor at rest - left hand), Q3d. TRESTRFT (Tremor at rest - right foot), Q3e. TRESTLFT (Tremor at rest - left foot), Q4a. TRACTRHD (Action tremor - Right hand), Q4b. TRACTLHD (Action tremor - Left hand), Q5a. RIGDNECK (Rigidity - neck), Q5b. RIGDUPRT (Rigidity - right upper extremity), Q5c. RIGDUPLF (Rigidity - left upper extremity), Q5d. RIGDLORT (Rigidity - right lower extremity) , Q5e. RIGDLOLF (Rigidity - left lower extremity), Q6a. TAPSRT (Finger taps - right hand), Q6b. TAPSLF (Finger taps - left hand), Q7a. HANDMOVR (Hand movements - right hand), Q7b. HANDMOVL (Hand movements - left hand), Q8a. HANDALTR (Rapid alternating movement - right hand), Q8b. HANDALTL (Rapid alternating movement - left hand), Q9a. LEGRT (Leg agility - right leg), Q9b. LEGLF (Leg agility - left leg), Q10. ARISING (Arising from chair), Q11. POSTURE (Posture), Q12. GAIT (Gait), Q13. POSSTAB (Posture stability), Q14. BRADYKIN (Bradykinesia/hypokinesia) are 8 (Untestable), then Q15. TOTALUPDRS (Total UPDRS Score) must be 888 (untestable)","If any of SPEECH, FACEXP, TRESTFAC, TRESTRHD, TRESTLHD, TRESTRFT, TRESTLFT, TRACTRHD, TRACTLHD, RIGDNECK, RIGDUPRT, RIGDUPLF, RIGDLORT, RIGDLOLF, TAPSRT, TAPSLF, HANDMOVR, HANDMOVL, HANDALTR, HANDALTL, LEGRT, LEGLF, ARISING, POSTURE, GAIT, POSSTAB, BRADYKIN = 8 and TOTALUPDRS is not 888",b3-ivp-c-113,n/a,n/a,Error,Yes,Conformity,No,
