Form,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORYR,MOCAORYR conditionally blank,If MOCACOMP is 0 then MOCAORYR must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1y. MOCAORYR (orientation year) must be blank,If MOCACOMP=0 and MOCAORYR is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORDY,MOCAORDY conditionally present,If MOCACOMP is 1 then MOCAORDY cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1z. MOCAORDY (orientation day) cannot be blank,If MOCACOMP=1 and MOCAORDY=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORDY,MOCAORDY conforms,If MOCACOMP is 1 then MOCAORDY must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1z. MOCAORDY (orientation day) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCAORDY is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORDY,MOCAORDY conditionally blank,If MOCACOMP is 0 then MOCAORDY must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1z. MOCAORDY (orientation day) must be blank,If MOCACOMP=0 and MOCAORDY is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORPL,MOCAORPL conditionally present,If MOCACOMP is 1 then MOCAORPL cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1aa. MOCAORPL (orientation place) cannot be blank,If MOCACOMP=1 and MOCAORPL=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORPL,MOCAORPL conforms,If MOCACOMP is 1 then MOCAORPL must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1aa. MOCAORPL (orientation place) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCAORPL is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORPL,MOCAORPL conditionally blank,If MOCACOMP is 0 then MOCAORPL must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1aa. MOCAORPL (orientation place) must be blank,If MOCACOMP=0 and MOCAORPL is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORCT,MOCAORCT conditionally present,If MOCACOMP is 1 then MOCAORCT cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1bb. MOCAORCT (orientation city) cannot be blank,If MOCACOMP=1 and MOCAORCT=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORCT,MOCAORCT conforms,If MOCACOMP is 1 then MOCAORCT must be between 0 and 1 or between 95 and 98,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1bb. MOCAORCT (orientation city) must be between 0 and 1 or between 95 and 98,"If MOCACOMP =1 and MOCAORCT is not 0,1,95,96,97,98",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,MOCAORCT,MOCAORCT conditionally blank,If MOCACOMP is 0 then MOCAORCT must be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1bb. MOCAORCT (orientation city) must be blank,If MOCACOMP=0 and MOCAORCT is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,NPSYCLOC,NPSYCLOC cannot be blank,NPSYCLOC cannot be blank,Q2a. NPSYCLOC (npsych location) cannot be blank,NPSYCLOC=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,NPSYCLOC,NPSYCLOC conforms,NPSYCLOC must be between 1 and 3,Q2a. NPSYCLOC (npsych location) must be between 1 and 3,"NPSYCLOC is not 1,2,3",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,NPSYLAN,NPSYLAN cannot be blank,NPSYLAN cannot be blank,Q2b. NPSYLAN (npsych language) cannot be blank,NPSYCLAN=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,NPSYLAN,NPSYLAN conforms,NPSYLAN must be between 1 and 3,Q2b. NPSYLAN (npsych language) must be between 1 and 3,"NPSYCLAN is not 1,2,3",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,NPSYLANX,NPSYLANX conditionally present,If NPSYLAN is 3 then NPSYLANX cannot be blank,If Q2b. NPSYLAN (npsych language) is 3 then Q2b1. NPSYLANX (npsych language other) cannot be blank,If NPSYLAN=3 and NPSYLANX=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,NPSYLANX,NPSYLANX conditionally blank,If NPSYLAN is not 3 then NPSYLANX must be blank,If Q2b. NPSYLAN (npsych language) is not 3 then Q2b1. NPSYLANX (npsych language other) must be blank,If NPSYLAN is not 3 and NPSYLANX is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTVRS,CRAFTVRS cannot be blank,CRAFTVRS cannot be blank,Q3a. CRAFTVRS (craft verbatim scoring) cannot be blank,CRAFTVRS=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTVRS,CRAFTVRS conforms,CRAFTVRS must be between 0 and 44 or 95 and 98,Q3a. CRAFTVRS (craft verbatim scoring) must be between 0 and 44 or 95 and 98,"CRAFTVRS<0 or (CRAFTVRS>44 and CRAFTVRS is not 95,96,97,98)",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTURS,CRAFTURS conditionally present,If CRAFTVRS is between 0 and 44 then CRAFTURS cannot be blank,If Q3a. CRAFTVRS (craft verbatim scoring) is between 0 and 44 then Q3b. CRAFTURS (craft  paraphrase scoring) cannot be blank,If CRAFTVRS>0 and CRAFTVRS<44 and CRAFTURS=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTURS,CRAFTURS conforms,If CRAFTVRS is between 0 and 44 then CRAFTURS must be between 0 and 25,If Q3a. CRAFVRS (craft verbatim scoring) is between 0 and 44 then Q3b. CRAFTURS (craft paraphrase scoring) must be between 0 and 25,If CRAFTVRS>0 and CRAFTVRS<44 and (CRAFTURS<0 or CRAFTURS>25),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTURS,CRAFTURS conditionally blank,If CRAFTVRS is between 95 and 98 then CRAFTURS must be blank,If Q3a. CRAFTVRS (craft verbatim scoring) is between 95 and 98 then Q3b. CRAFTURS (craft paraphrase scoring) must be blank,If CRAFTVRS>95 and CRAFTVRS<98 and CRAFTURS is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSBENTC,UDSBENTC cannot be blank,UDSBENTC cannot be blank,Q4a. UDSBENTC (benson total) cannot be blank,UBSBENTC=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSBENTC,UDSBENTC conforms,UDSBENTC must be between 0 and 17 or between 95 and 98,Q4a. UDSBENTC (benson total) must be between 0 and 17 or between 95 and 98,"UDSBENTC<0 or (UDSBENTC>17 and UDSBENTC is not 95,96,97,98)",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,DIGFORCT,DIGFORCT cannot be blank,DIGFORCT cannot be blank,Q5a. DIGFORCT (number span trials) cannot be blank,DIGFORCT=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,DIGFORCT,DIGFORCT conforms,DIGFORCT must be between 0 and 14 or 95 and 98,Q5a. DIGFORCT (number span trials) must be between 0 and 14 or 95 and 98,"DIGFORCT<0 or (DIGFORCT>14 and DIGFORCT is not 95,96,97,98)",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,DIGFORSL,DIGFORSL conditionally present,If DIGFORCT is between 0 and 14 then DIGFORSL cannot be blank,If Q5a. DIGFORCT (number span trials) is between 0 and 14 then Q5b. DIGFORSL (longest span forward) cannot be blank,DIGFORCT>0 and DIGFORCT<14 and DIGFORSL=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,DIGFORSL,DIGFORSL conforms,If DIGFORCT is between 0 and 14 then DIGFORSL must be between 3 and 9 or 0,If Q5a. DIGFORCT (number span trials) is between 0 and 14 then Q5b. DIGFORSL (longest scan forward) must be between 3 and 9 or 0,"DIGFORCT>0 and DIGFORCT<14 and DIGFORSL is not 0,3,4,5,6,7,8,9",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,DIGFORSL,DIGFORSL conditionally blank,If DIGFORCT is between 95 and 98 then DIGFROSL must be blank,If Q5a. DIGFORCT (number span trials) is between 95 and 98 then Q5b. DIGFROSL (longest scan forward) must be blank,"DIFORCT=95,96,97,98 and DIGFORSL is not blank",,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,DIGBACCT,DIGBACCT cannot be blank,DIGBACCT cannot be blank,Q6a. DIGBACCT (number span backward) cannot be blank,DIGBACCT=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,DIGBACCT,DIGBACCT conforms,DIGBACCT must be between 0 and 14 or between 95 and 98,Q6a. DIGBACCT (number span backward) must be between 0 and 14 or between 95 and 98,"DIGBACCT<0 or (DIGBACCT>14 and DIGBACCT is not 95,96,97,98)",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,DIGBACLS,DIGBACLS conditionally present,If DIGBACCT is between 0 and 14 then DIGBACLS cannot be blank,If Q6a. DIGBACCT (number span backward) is between 0 and 14 then Q6b. DIGBACLS (longest scan backward) cannot be blank,DIGBACCT>0 and DIGBACCT<14 and DIGBACLS=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,DIGBACLS,DIGBACLS conforms,If DIGBACCT is between 0 and 14 then DIGBACLS must be between 2 and 8 or 0,If Q6a. DIGBACCT (number span backward) is between 0 and 14 then Q6b. DIGBACLS (longest scan backward) must be between 2 and 8 or 0,"DIGBACCT>0 and DIGBACCT<14 and DIGBACLS is not 0,2,3,4,5,6,7,8",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,DIGBACLS,DIGBACLS conditionally blank,If DIGBACCT is between 95 and 98 then DIGBACLS must be blank,If Q6a. DIGBACCT (number scan backward) is between 95 and 98 then Q6b. DIGBACLS (longest scan backward) must be blank,"DIGBACCT=95,96,97,98 and DIGBACLS is not blank",,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,ANIMALS,ANIMALS cannot be blank,ANIMALS cannot be blank,Q7a. ANIMALS (total animals) cannot be blank,ANIMALS=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,ANIMALS,ANIMALS conforms,ANIMALS must be between 0 and 77 or 95 and 98,Q7a. ANIMALS (total animals) must be between 0 and 77 or 95 and 98,"ANIMALS<0 or (ANIMALS>77 and ANIMALS is not 95,96,97,98)",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,VEG,VEG cannot be blank,VEG cannot be blank,Q7b. VEG (total vegetables) cannot be blank,VEG=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,VEG,VEG conforms,VEG must be between 0 and 77 or 95 and 98,Q7b. VEG (total vegetables) must be between 0 and 77 or 95 and 98,"VEG<0 or (VEG>77 and VEG is not 95,96,97,98)",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILA,TRAILA cannot be blank,TRAILA cannot be blank,Q8a. TRAILA (trail making A total) cannot be blank,TRAILA=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILA,TRAILA conforms,TRAILA must be between 0 and 150 or between 995 and 998,Q8a. TRAILA (trail making A total) must be between 0 and 150 or between 995 and 998,"TRAILA<0 or (TRAILA>150 and TRAILA is not 995,996,997,998)",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILARR,TRAILARR conditionally present,If TRAILA is between 0 and 150 then TRAILARR cannot be blank,If Q8a. TRAILA (trail making A total) is between 0 and 150 then Q8a1. TRAILARR (commission errors) cannot be blank,TRAILA>0 and TRAILA<150 and TRAILARR=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILARR,TRAILARR conforms,If TRAILA is between 0 and 150 then TRAILARR must be between 0 and 40,If Q8a. TRAILA (trail making A total) is between 0 and 150 then Q8a1. TRAILARR (commission errors) must be between 0 and 40,TRAILA>0 and TRAILA<150 and (TRAILARR<0 or TRAILARR>40),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILARR,TRAILARR conditionally blank,If TRAILA is between 995 and 998 then TRAILARR must be blank,If Q8a. TRAILA (trail making A total) is between 995 and 998 then Q8a1. TRAILARR (commission errors) must be blank,"TRAILA=995,996,997,998 and TRAILARR is not blank",,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILALI,TRAILALI conditionally present,If TRAILA is between 0 and 150 then TRAILALI cannot be blank,If Q8a. TRAILA (trail making A total) is between 0 and 150 then Q8a2. TRAILALI (correct lines) cannot be blank,TRAILA>0 and TRAILA<150 and TRAILALI=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILALI,TRAILALI conforms,If TRAILA is between 0 and 150 then TRAILALI must be between 0 and 24,If Q8a. TRAILA (trail making A total) is between 0 and 150 then Q8a2. TRAILALI (correct lines) must be between 0 and 24,TRAILA>0 and TRAILA<150 and (TRAILALI<0 or TRAILALI>24),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILALI,TRAILALI conditionally blank,If TRAILA is between 995 and 998 then TRAILALI must be blank,If Q8a. TRAILA (trail making A total) is between 995 and 998 then Q8a2. TRAILALI (correct lines) must be blank,"TRAILA=995,996,997,998 and TRAILALI is not blank",,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILB,TRAILB cannot be blank,TRAILB cannot be blank,Q8b. TRAILB (trail making B total) cannot be blank,TRAILB=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILB,TRAILB conforms,TRAILB must be between 0 and 300 or between 995 and 998,Q8b. TRAILB (trail making B total) must be between 0 and 300 or between 995 and 998,"TRAILB<0 or (TRAILB>300 and TRAILB is not 995,996,997,998)",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILBRR,TRAILBRR conditionally present,If TRAILB is between 0 and 300 then TRAILBRR cannot be blank,If Q8b. TRAILB (trail making B total) is between 0 and 300 then Q8b1. TRAILBRR (commission errors B) cannot be blank,TRAILB>0 and TRAILB<300 and TRAILBRR=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILBRR,TRAILBRR conforms,If TRAILB is between 0 and 300 then TRAILBRR must be between 0 and 40,If Q8b. TRAILB (trail making B total) is between 0 and 300 then Q8b1. TRAILBRR (commission errors B) must be between 0 and 40,TRAILB>0 and TRAILB<300 and (TRAILBRR<0 or TRAILBRR>40),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILBRR,TRAILBRR conditionally blank,If TRAILB is between 995 and 998 then TRAILBRR must be blank,If Q8b. TRAILB (trail making B total) is between 995 and 998 then Q8b1. TRAILBRR (commission errors B) must be blank,"TRAILB=995,996,997,998 and TRAILBRR is not blank",,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILBLI,TRAILBLI conditionally present,If TRAILB is between 0 and 300 then TRAILBLI cannot be blank,If Q8b. TRAILB (trail making b total) is between 0 and 300 then Q8b2. TRAILBLI (correct lines B) cannot be blank,TRAILB>0 and TRAILB<300 and TRAILBLI=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILBLI,TRAILBLI conforms,If TRAILB is between 0 and 300 then TRAILBLI must be between 0 and 24,If Q8b. TRAILB (trail making B total) is between 0 and 300 then Q8b2. TRAILBLI (correct lines B) must be between 0 and 24,TRAILB>0 and TRAILB<300 and (TRAILBLI<0 or TRAILBLI>24),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,TRAILBLI,TRAILBLI conditionally blank,If TRAILB is between 995 and 998 then TRAILBLI must be blank,If Q8b. TRAILB (trail making B total) is between 995 and 998 then Q8b2. TRAILBLI (correct lines B) must be blank,TRAILB>995 and TRAILB<998 and TRAILBLI is not blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTDVR,CRAFTDVR cannot be blank,CRAFTDVR cannot be blank,Q9a. CRAFTDVR (delayed verbatim) cannot be blank,CRAFTDVR=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTDVR,CRAFTDVR conforms,CRAFTDVR must be between 0 and 44 or between 95 and 98,Q9a. CRAFTDVR (delayed verbatim) must be between 0 and 44 or between 95 and 98,"CRAFTDVR<0 or (CRAFTDVR>44 and CRAFTDVR is not 95,96,97,98)",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTDRE,CRAFTDRE conditionally present,If CRAFTDVR is between 0 and 44 then CRAFTDRE cannot be blank,If Q9a. CRAFTDVR (delayed verbatim) is between 0 and 44 then Q9b. CRAFTDRE (delayed paraphrase) cannot be blank,CRAFTDVR>0 and CRAFTDVR<44 and CRAFTDRE=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTDRE,CRAFTDRE conforms,If CRAFTDVR is between 0 and 44 then CRAFTDRE must be between 0 and 25,If Q9a. CRAFTDVR (delayed verbatim) is between 0 and 44 then Q9b. CRAFTDRE (delayed paraphrase) must be between 0 and 25,CRAFTDVR>0 and CRAFTDVR<44 and (CRAFTDRE<0 or CRAFTDRE>25),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTDRE,CRAFTDRE conditionally blank,If CRAFTDVR is between 95 and 98 then CRAFTDRE must be blank,If Q9a. CRAFTDVR (delayed verbatim) is between 95 and 98 then Q9b. CRAFTDRE (delayed paraphrase) must be blank,"CRAFTDVR=95,96,97,98 and CRAFTDRE is not blank",,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTDTI,CRAFTDTI conditionally present,If CRAFTDVR is between 0 and 44 then CRAFTDTI cannot be blank,If Q9a. CRAFTDVR (delayed verbatim) is between 0 and 44 then Q9c. CRAFTDTI (delay time) cannot be blank,CRAFTDVR>0 and CRAFTDVR<44 and CRAFTDTI=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTDTI,CRAFTDTI conforms,"If CRAFTDVR is between 0 and 44 then CRAFTDTI must be between 0 and 85, or 99","If Q9a. CRAFTDVR (delayed verbatim) is between 0 and 44 then Q9c. CRAFTDTI (delay time) must be between 0 and 85, OR 99",CRAFTDVR>0 and CRAFTDVR<44 and (CRAFDTI<0 or CRAFTDTI>85),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTDTI,CRAFTDTI conditionally blank,If CRAFTDVR is between 95 and 98 then CRAFTDTI must be blank,If Q9a. CRAFTDVR (delayed verbatim) is between 95 and 98 then Q9c. CRAFTDTI (delay time) must be blank,"CRAFTDVR=95,96,97,98 and CRAFTDTI is not blank",,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTCUE,CRAFTCUE conditionally present,If CRAFTDVR is between 0 and 44 then CRAFTCUE cannot be blank,If Q9a. CRAFTDVR (delayed verbatim) is between 0 and 44 then Q9d. CRAFTCUE (cue needed) cannot be blank,CRAFTDVR>0 and CRAFTDVR<44 and CRAFTCUE=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTCUE,CRAFTCUE conforms,If CRAFTDVR is between 0 and 44 then CRAFTCUE must be 0 or 1,If Q9a. CRAFTDVR (delayed verbatim) is between 0 and 44 then Q9d. CRAFTCUE (cue needed) must be 0 or 1,"CRAFTDVR>44 and CRAFTDVR<44 and CRAFTCUE is not 0,1",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,CRAFTCUE,CRAFTCUE conditionally blank,If CRAFTDVR is between 95 and 98 then CRAFTCUE must be blank,If Q9a. CRAFTDVR (delayed verbatim) is between 95 and 98 then Q9d. CRAFTCUE (cue needed) must be blank,"CRAFTDVR=95,96,97,98 and CRAFTCUE is not blank",,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSBENTD,UDSBENTD cannot be blank,UDSBENTD cannot be blank,Q10a. UDSBENTD (benson total score) cannot be blank,UDSBENTD=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSBENTD,UDSBENTD conforms,UDSBENTD must be between 0 and 17 or between 95 and 98,Q10a. UDSBENTD (benson total score) must be between 0 and 17 or between 95 and 98,"UDSBENTD<0 or (UDSBENTD>17 and UDSBENTD is not 95,96,97,98)",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSBENRS,UDSBENRS conditionally present,If UDSBENTD is between 0 and 17 then UDSBENRS cannot be blank,If Q10a. UDSBENTD (benson total score) is between 0 and 17 then Q10b. UDSBENRS (recognized stimulus) cannot be blank,UDSBENTD>0 and UDSBENTD<17 and UDSBENRS=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSBENRS,UDSBENRS conforms,If UDSBENTD is between 0 and 17 then UDSBENRS must be between 0 and 1,If Q10a. UDSBENTD (benson total score) is between 0 and 17 then Q10b. UDSBENRS (recognized stimulus) must be between 0 and 1,"UDSBENTD>0 and UDSBENTD<17 and UDSBENRS is not 0,1",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSBENRS,UDSBENRS conditionally blank,If UDSBENTD is between 95 and 98 then UDSBENRS must be blank,If Q10a. UDSBENTD (benson total score) is between 95 and 98 then Q10b. UDSBENRS (recognized stimulus) must be blank,"UDSBENTD=95,96,97,98 and UDSBENRS is not blank",,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSVERFC,UDSVERFC cannot be blank,UDSVERFC cannot be blank,Q11a. UDSVERFC (correct f-words) cannot be blank,UDSVERFC=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSVERFC,UDSVERFC conforms,UDSVERFC must be between 0 and 40 or between 95 and 98,Q11a. UDSVERFC (correct f-words) must be between 0 and 40 or between 95 and 98,"UDSVERFC<0 or (UDSVERFC>40 and UDSVERFC is not 95,96,97,98)",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSVERFN,UDSVERFN conditionally present,If UDSVERFC is between 0 and 40 then UDSVERFN cannot be blank,If Q11a. UDSVERFC (correct f-words) is between 0 and 40 then Q11b. UDSVERFN (f-words repeated) cannot be blank,UDSVERFC>0 and UDSVERFC<40 and UDSVERFN=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSVERFN,UDSVERFN conforms,If UDSVERFC is between 0 and 40 then UDSVERFN must be between 0 and 15,If Q11a. UDSVERFC (correct f-words) is between 0 and 40 then Q11b. UDSVERFN (f-words repeated) must be between 0 and 15,UDSVERFC>0 and UDSVERFC<40 and (UDSVERFN<0 or UDSVERFN>15),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSVERFN,UDSVERFN conditionally blank,If UDSVERFC is between 95 and 98 then UDSVERFN must be blank,If Q11a. UDSVERFC (correct f-words) is between 95 and 98 then Q11b. UDSVERFN (f-words repeated) must be blank,"UDSVERFC=95,96,97,98 and UDSVERFN is not blank",,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSVERNF,UDSVERNF conditionally present,If UDSVERFC is between 0 and 40 then UDSVERNF cannot be blank,If Q11a. UDSVERFC (correct f-words) is between 0 and 40 then Q11c. UDSVERNF (F-words rule violations) cannot be blank,UDSVERFC>0 and UDSVERFC<40 and UDSVERNF=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSVERNF,UDSVERNF conforms,If UDSVERFC is between 0 and 40 then UDSVERNF must be between 0 and 15,If Q11a. UDSVERFC (correct f-words) is between 0 and 40 then Q11c. UDSVERNF (F-words rule violations) must be between 0 and 15,UDSVERFC>0 and UDSVERFC<40 and (UDSVERNF<0 or UDSVERNF>15),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSVERNF,UDSVERNF conditionally blank,If UDSVERFC is between 95 and 98 then UDSVERNF must be blank,If Q11a. UDSVERFC (correct f-words) is between 95 and 98 then Q11c. UDSVERNF (F-words rule violations) must be blank,"UDSVERFC=95,96,97,98 and UDSVERNF is not blank",,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSVERLC,UDSVERLC cannot be blank,UDSVERLC cannot be blank,Q11d. UDSVERLC (L-words correct) cannot be blank,UDSVERLC=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSVERLC,UDSVERLC conforms,UDSVERLC must be between 0 and 40 or between 95 and 98,Q11d. UDSVERLC (L-words correct) must be between 0 and 40 or between 95 and 98,"UDSVERLC<0 or (UDSVERLC>40 and UDSVERLC is not 95,96,97,98)",,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSVERLR,UDSVERLR conditionally present,If UDSVERLC is between 0 and 40 then UDSVERLR cannot be blank,If Q11d. UDSVERLC (L-words correct) is between 0 and 40 then Q11e. UDSVERLR (L-words repeated) cannot be blank,UDSVERLC>0 and UDSVERLC<40 and UDSVERLR=blank,,,Error,Yes,Missingness,,,,,,,,,,,,,,,,,,,,,,,
C2,IVP,UDSVERLR,UDSVERLR conforms,If UDSVERLC is between 0 and 40 then UDSVERLR must be between 0 and 15,If Q11d. UDSVERLC (L-words correct) is between 0 and 40 then Q11e. UDSVERLR (L-words repeated) must be between 0 and 15,UDSVERLC>0 and UDSVERLC<40 and (UDSVERLR<0 or UDSVERLR>15),,,Error,Yes,Conformity,,,,,,,,,,,,,,,,,,,,,,,
