error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-065,65,Error,e2f,IF,FTDAMDY,Missingness,FTDAMDY conditionally blank,"If FTDAMYPT = 0, FTDAMDY should be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 0 (No), Q3a. FTDAMDY (Day of amyloid PET scan?) should be blank",If FTDAMYPT = 0 and FTDAMDY not = blank,,"FTDAMYPT, FTDAMDY",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-066,66,Error,e2f,IF,FTDAMDY,Conformity,FTDAMDY conforms,FTDAMDY must be an integer between 1-31 or 99,Q3a. FTDAMDY (Day of amyloid PET scan?) must be an integer between 1-31 or 99,If FTDAMDY  < 1 and (FTDAMDY >31 and FTDAMDY ≠ 99),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-067,67,Error,e2f,IF,FTDAMYR,Missingness,FTDAMYR conditionally present,"If FTDAMYPT = 1, FTDAMYR cannot be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 1, Q3a. FTDAMYR (Year of amyloid PET scan?) cannot be blank", IF FTDAMYPT = 1 and FTDAMYR = blank,,"FTDAMYPT, FTDAMYR",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-068,68,Error,e2f,IF,FTDAMYR,Missingness,FTDAMYR conditionally blank,"If FTDAMYPT = 0, FTDAMYR should be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 0 (No), Q3a. FTDAMYR (Year of amyloid PET scan?) should be blank",If FTDAMYPT = 0 and FTDAMYR not = blank,,"FTDAMYPT, FTDAMYR",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-069,69,Error,e2f,IF,FTDAMYR,Conformity,FTDAMYR conforms,FTDAMYR must be an integer between 2000-present year,Q3a. FTDAMYR (Year of amyloid PET scan?) must be an integer between 2000-present year,If FTDAMYR  < 2000 and FTDAMYR > present year,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-070,70,Error,e2f,IF,FTDAMDIC,Missingness,FTDAMDIC conditionally present,"If FTDAMYPT = 1, FTDAMDIC cannot be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 1, Q3b. FTDAMDIC (Amyloid PET scan: Is it in DICOM format or other electronic format?) cannot be blank", IF FTDAMYPT = 1 and FTDAMDIC = blank,,"FTDAMYPT, FTDAMDIC",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-071,71,Error,e2f,IF,FTDAMDIC,Missingness,FTDAMDIC conditionally blank,"If FTDAMYPT = 0, FTDAMDIC should be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 0 (No), Q3b. FTDAMDIC (Amyloid PET scan: Is it in DICOM format or other electronic format?) should be blank",If FTDAMYPT = 0 and FTDAMDIC not = blank,,"FTDAMYPT, FTDAMDIC",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-072,72,Error,e2f,IF,FTDAMDIC,Conformity,FTDAMDIC conforms,FTDAMDIC must be an integer between 0-1 or 9,Q3b. FTDAMDIC (Amyloid PET scan: Is it in DICOM format or other electronic format?) must be an integer between 0-1 or 9,If FTDAMDIC  < 0 and (FTDAMDIC >1 and FTDAMDIC ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-073,73,Error,e2f,IF,FTDAMDID,Missingness,FTDAMDID conditionally present,"If FTDFDDIC = 1, FTDAMDID cannot be blank","If Q3b. FTDFDDIC (Amyloid PET scan: Is it in DICOM format or other electronic format?) = 1, Q3b1. FTDAMDID (Amyloid PET scan: Specify DICOM or other format) cannot be blank", IF FTDFDDIC = 1 and FTDAMDID = blank,,"FTDFDDIC, FTDAMDID",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-074,74,Error,e2f,IF,FTDAMLIG,Missingness,FTDAMLIG conditionally present,"If FTDAMYPT = 1, FTDAMLIG cannot be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 1, Q3c. FTDAMLIG (Amyloid PET scan: Ligand used?) cannot be blank", IF FTDAMYPT = 1 and FTDAMLIG = blank,,"FTDAMYPT, FTDAMLIG",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-075,75,Error,e2f,IF,FTDAMLIG,Missingness,FTDAMLIG conditionally blank,"If FTDAMYPT = 0, FTDAMLIG should be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 0 (No), Q3c. FTDAMLIG (Amyloid PET scan: ligand used?) should be blank",If FTDAMYPT = 0 and FTDAMLIG not = blank,,"FTDAMYPT, FTDAMLIG",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-076,76,Error,e2f,IF,FTDAMLIG,Conformity,FTDAMLIG conforms,FTDAMLIG must be an integer between 1-3 or 9,Q3c. FTDAMLIG ( Amyloid PET scan: Ligand used?) must be an integer between 1-3 or 9,If FTDAMLIG  < 1 and (FTDAMLIG > 3 and FTDAMLIG ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-077,77,Error,e2f,IF,FTDAMLIO,Missingness,FTDAMLIO conditionally present,"If FTDAMLIG = 3, FTDAMLIO cannot be blank","If Q3c. FTDAMLIG (Amyloid PET scan: Ligand used?)=3, Q3c1. FTDAMLIO (Amyloid PET scan: Specify other ligand used) cannot be blank", IF FTDAMLIG = 3 and FTDAMLIO = blank,,"FTDAMLIG, FTDAMLIO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-078,78,Error,e2f,IF,FTDAMADN,Missingness,FTDAMADN conditionally present,"If FTDAMYPT = 1, FTDAMADN cannot be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 1, Q3d. FTDAMADN (Amyloid PET scan: Was ADNI protocol used?) cannot be blank", IF FTDAMYPT = 1 and FTDAMADN = blank,,"FTDAMYPT, FTDAMADN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-079,79,Error,e2f,IF,FTDAMADN,Missingness,FTDAMADN conditionally blank,"If FTDAMYPT = 0, FTDAMADN should be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 0 (No), Q3d. FTDAMADN (Amyloid PET scan: Was ADNI protocol used?) should be blank",If FTDAMYPT = 0 and FTDAMADN not = blank,,"FTDAMYPT, FTDAMADN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-080,80,Error,e2f,IF,FTDAMADN,Conformity,FTDAMADN conforms,FTDAMADN must be an integer between 0-1 or 9,Q3d. FTDAMADN (Amyloid PET scan: Was ADNI protocol used?) must be an integer between 0-1 or 9,If FTDAMADN  < 0 and (FTDAMADN > 1 and FTDAMADN ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-081,81,Error,e2f,IF,FTDAMADV,Missingness,FTDAMADV conditionally present,"If FTDAMADN = 4, FTDAMADV cannot be blank","If Q3d. FTDAMADN (Amyloid PET scan: Was ADNI protocol used?) = 4, Q3d1. FTDAMADV ( Amyloid PET scan: If ADNI protocol was used, then ADNI version?) cannot be blank", IF FTDAMADN = 4 and FTDAMADV = blank,,"FTDAMADN, FTDAMADV",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-082,82,Error,e2f,IF,FTDAMMAN,Missingness,FTDAMMAN conditionally present,"If FTDAMYPT = 1, FTDAMMAN cannot be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 1, Q3e. FTDAMMAN (Amyloid PET scan: Scan manufacturer?) cannot be blank", IF FTDAMYPT = 1 and FTDAMMAN = blank,,"FTDAMYPT, FTDAMMAN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-083,83,Error,e2f,IF,FTDAMMAN,Missingness,FTDAMMAN conditionally blank,"If FTDAMYPT = 0, FTDAMMAN should be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 0 (No), Q3e. FTDAMMAN (Amyloid PET scan: san manufacturer?) should be blank",If FTDAMYPT = 0 and FTDAMMAN not = blank,,"FTDAMYPT, FTDAMMAN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-084,84,Error,e2f,IF,FTDAMMAN,Conformity,FTDAMMAN conforms,FTDAMMAN must be an integer between 1-4 or 9,Q3e. FTDAMMAN (Amyloid PET scan: Scan manufacturer?) must be an integer between 1-4 or 9,If FTDAMMAN  < 1 and (FTDAMMAN > 4 and FTDAMMAN ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-085,85,Error,e2f,IF,FTDAMMAO,Missingness,FTDAMMAO conditionally present,"If FTDAMMAN = 4, FTDAMMAO cannot be blank","If Q3e. FTDAMMAN (Amyloid PET scan: Scan manufacturer?) = 4, Q3e0. FTDAMMAO (Amyloid PET scan: Manufacturer, if other specify) cannot be blank", IF FTDAMMAN = 4 and FTDAMMAO = blank,,"FTDAMMAN, FTDAMMAO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-086,86,Error,e2f,IF,FTDAMMAM,Missingness,FTDAMMAM conditionally present,"If FTDAMYPT = 1, FTDAMMAM cannot be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 1, Q3e1. FTDAMMAM (Amyloid PET scan: Manufacturer model?) cannot be blank", IF FTDAMYPT = 1 and FTDAMMAM = blank,,"FTDAMYPT, FTDAMMAM",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-087,87,Error,e2f,IF,FTDAMQU,Missingness,FTDAMQU conditionally present,"If FTDAMYPT = 1, FTDAMQU cannot be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 1, Q3f. FTDAMQU (Amyloid PET scan: Are results of quantitative image analysis available?) cannot be blank", IF FTDAMYPT = 1 and FTDAMQU = blank,,"FTDAMYPT, FTDAMQU",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-088,88,Error,e2f,IF,FTDAMQU,Missingness,FTDAMQU conditionally blank,"If FTDAMYPT = 0, FTDAMQU should be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?) = 0 (No), Q3f. FTDAMQU (Amyloid PET scan: Are results of quantitative image analysis available?) should be blank",If FTDAMYPT = 0 and FTDAMQU not = blank,,"FTDAMYPT, FTDAMQU",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-089,89,Error,e2f,IF,FTDAMQU,Conformity,FTDAMQU conforms,FTDAMQU must be an integer between 0-1,Q3f. FTDAMQU (Amyloid PET scan: Are results of quantitative image analysis available?) must be an integer between 0-1,If FTDAMQU  < 0 and FTDAMQU > 1 ,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-090,90,Error,e2f,IF,FTDOTHER,Missingness,FTDOTHER must be present,FTDOTHER cannot be blank,Q4. FTDOTHER (Are other PET or SPECT scans available for data sharing?) cannot be blank,IF FTDOTHER  =blank,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-091,91,Error,e2f,IF,FTDOTHER,Conformity,FTDOTHER  conforms,FTDOTHER must be a an integer between 0-1,"Q4. FTDOTHER (Are other PET or SPECT scans, available for data sharing?) must be an integer between 0-1",IF FTDOTHER < 0 or FTDOTHER > 1,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-092,92,Error,e2f,IF,FTDOTDOP,Missingness,FTDOTDOP conditionally present,"If FTDOTHER = 1, FTDOTDOP cannot be blank","If Q4. FTDOTHER (Are other PET and SPECT scans available for data sharing?) = 1, Q4a. FTDOTDOP ( Other PET or SPECT scans: Is a dopaminergic scan available?) cannot be blank", IF FTDOTHER = 1 and FTDOTDOP = blank,,"FTDOTHER, FTDOTDOP",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-093,93,Error,e2f,IF,FTDOTDOP,Missingness,FTDOTDOP conditionally blank,"If FTDOTHER = 0, FTDOTDOP should be blank","If Q4. FTDOTHER (Are other PET and SPECT scans available for data sharing?) = 0 (No), Q4a. FTDOTDOP (Other PET or SPECT scans: Is a dopaminergic scan available?) should be blank",If FTDOTHER = 0 and FTDOTDOP not = blank,,"FTDOTHER, FTDOTDOP",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-094,94,Error,e2f,IF,FTDOTDOP,Conformity,FTDOTDOP conforms,FTDOTDOP must be an integer between 0-1 or 9,Q4a. FTDOTDOP (Other PET or SPECT scans: Is a dopaminergic scan available?) must be an integer between 0-1 or 9,If FTDOTDOP  < 0 and (FTDOTDOP >1 and FTDOTDOP ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-095,95,Error,e2f,IF,FTDOTSER,Missingness,FTDOTSER conditionally present,"If FTDOTHER = 1, FTDOTSER cannot be blank","If Q4. FTDOTHER (Are other PET and SPECT scans available for data sharing?) = 1, Q4b. FTDOTSER (Other PET or SPECT scans: Is a serotonergic scan available?) cannot be blank", IF FTDOTHER = 1 and FTDOTSER = blank,,"FTDOTHER, FTDOTSER",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-096,96,Error,e2f,IF,FTDOTSER,Missingness,FTDOTSER conditionally blank,"If FTDOTHER = 0, FTDOTSER should be blank","If Q4. FTDOTHER (Are other PET and SPECT scans available for data sharing?) = 0 (No), Q4b. FTDOTSER (Other PET or SPECT scans: Is a serotonergic scan available?) should be blank",If FTDOTHER = 0 and FTDOTSER not = blank,,"FTDOTHER, FTDOTSER",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-097,97,Error,e2f,IF,FTDOTSER,Conformity,FTDOTSER conforms,FTDOTSER must be an integer between 0-1 or 9,Q4b. FTDOTSER (Other PET or SPECT scans: Is a serotonergic scan available?) must be an integer between 0-1 or 9,If FTDOTSER  < 0 and (FTDOTSER >1 and FTDOTSER ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-098,98,Error,e2f,IF,FTDOTCHO,Missingness,FTDOTCHO conditionally present,"If FTDOTHER = 1, FTDOTCHO cannot be blank","If Q4. FTDOTHER (Are other PET and SPECT scans available for data sharing?) = 1, Q4c. FTDOTCHO (Other PET or SPECT scans: Is a cholinergic scan available?) cannot be blank", IF FTDOTHER = 1 and FTDOTCHO = blank,,"FTDOTHER, FTDOTCHO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-099,99,Error,e2f,IF,FTDOTCHO,Missingness,FTDOTCHO conditionally blank,"If FTDOTHER = 0, FTDOTCHO should be blank","If Q4. FTDOTHER (Are other PET and SPECT scans available for data sharing?) = 0 (No), Q4c. FTDOTCHO (Other PET or SPECT scans: Is a cholinergic scan available?) should be blank",If FTDOTHER = 0 and FTDOTCHO not = blank,,"FTDOTHER, FTDOTCHO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-100,100,Error,e2f,IF,FTDOTCHO,Conformity,FTDOTCHO conforms,FTDOTCHO must be an integer between 0-1 or 9,Q4c. FTDOTCHO (Other PET or SPECT scans: Is a cholinergic scan available?) must be an integer between 0-1 or 9,If FTDOTCHO  < 0 and (FTDOTCHO >1 and FTDOTCHO ≠ 9),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-101,101,Error,e2f,IF,FTDOTANO,Missingness,FTDOTANO conditionally present,"If FTDOTHER = 1, FTDOTANO cannot be blank","If Q4. FTDOTHER (Are other PET and SPECT scans available for data sharing?) = 1, Q4d. FTDOTANO ( Other PET or SPECT scans: Is another kind of scan available?) cannot be blank", IF FTDOTHER = 1 and FTDOTANO = blank,,"FTDOTHER, FTDOTANO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-102,102,Error,e2f,IF,FTDOTANO,Missingness,FTDOTANO conditionally blank,"If FTDOTHER = 0, FTDOTANO should be blank","If Q4. FTDOTHER (Are other PET and SPECT scans available for data sharing?) = 0 (No), Q4d. FTDOTANO (Other PET or SPECT scans: Is another kind of scan available?) should be blank",If FTDOTHER = 0 and FTDOTANO not = blank,,"FTDOTHER, FTDOTANO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-103,103,Error,e2f,IF,FTDOTANO,Conformity,FTDOTANO conforms,FTDOTANO must be an integer between 0-1,Q4d. FTDOTANO ( Other PET or SPECT scans: Is another kind of scan available?) must be an integer between 0-1,If FTDOTANO  < 0 and FTDOTANO > 1,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-104,104,Error,e2f,IF,FTDOTANS,Missingness,FTDOTANS conditionally present,"If FTDOTANO = 1, FTDOTANS cannot be blank","If Q4d. FTDOTANO (Other PET or SPECT scans: Is another kind of scan available?) = 1, Q4d1. FTDOTANS (Other scan specify) cannot be blank", IF FTDOTANO = 1 and FTDOTANS = blank,,"FTDOTANO, FTDOTANS",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-105,105,Error,e2f,IF,FTDSMDIS,Missingness,FTDSMDIS conditionally blank,"If (FTDSMRI=0 or FTDSMDIC ne 1), FTDSMDIS must be blank","If (Q1. FTDSMRI (Is a structural MRI scan available for data sharing?)=0 or Q1b. FTDSMDIC (Structural MRI scan: Is it in DICOM format or other electronic format?) ne 1), Q1b1. FTDSMDIS (Structural MRI scan: Specify DICOM format or other format) must be blank",IF (FTDSMRI=0 or FTDSMDIC ne 1) and FTDSMDIS is not blank,,"FTDSMRI, FTDSMDIC, FTDSMDIS",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-106,106,Error,e2f,IF,FTDSMADV,Missingness,FTDSMADV conditionally blank,"If (FTDSMRI=0 or FTDSMADN ne 1), FTDSMADV must be blank","If (Q1. FTDSMRI (Is a structural MRI scan available for data sharing?)=0 or Q1c. FTDSMADN ( Structural MRI scan: If ADNI protocol was used, then ADNI version?) ne 1), Q1c1. FTDSMADV (Structural MRI scan: If ADNI protocol was used, then ADNI version?)  must be blank",IF (FTDSMRI=0 or FTDSMADN ne 1) and FTDSMADV is not blank,,"FTDSMRI, FTDSMADN, FTDSMADV",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-107,107,Error,e2f,IF,FTDSMMAO,Missingness,FTDSMMAO conditionally blank,"If (FTDSMRI=0 or FTDSMMAN ne 4), FTDSMMAO must be blank","If (Q1. FTDSMRI (Is a structural MRI scan available for data sharing?)=0 or Q1d. FTDSMMAN (Structural MRI scan: Scan manufacturer?) ne 4), Q1d0. FTDSMMAO (Structural MRI scan: Manufacturer, if other specify) must be blank",IF (FTDSMRI=0 or FTDSMMAN ne 4) and FTDSMMAO is not blank,,"FTDSMRI, FTDSMMAN, FTDSMMAO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-108,108,Error,e2f,IF,FTDSMMAM,Missingness,FTDSMMAM conditionally blank,"If FTDSMRI=0, FTDSMMAM must be blank","If Q1. FTDSMRI (Is a structural MRI scan available for data sharing?)=0, Q1d1. FTDSMMAM ( Structural MRI scan: Manufacturer model?) must be blank",IF FTDSMRI=0 and FTDSMMAM is not blank,,"FTDSMRI, FTDSMMAN",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-109,109,Error,e2f,IF,FTDSMFSO,Missingness,FTDSMFSO conditionally blank,"If (FTDSMRI=0 or FTDSMFS ne 4), FTDSMFSO must be blank","If (Q1. FTDSMRI (Is a structural MRI scan available for data sharing?)=0 or Q1e. FTDSMFS (Structural MRI scan: Field strength?) ne 4), Q1e1. FTDSMFSO ( Structural MRI scan: Field strength, specify other) must be blank",IF (FTDSMRI=0 or FTDSMFS ne 4) and FTDSMFSO is not blank,,"FTDSMRI, FTDSMFS, FTDSMFSO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-110,110,Error,e2f,IF,FTDFDDID,Missingness,FTDFDDID conditionally blank,"If (FTDFDGPT=0 or FTDFDDIC = 1), FTDFDDID must be blank","If (Q2. FTDFDGPT  (Is an FDG-PET scan available for data sharing?)=0 or Q2b. FTDFDDIC (FDG-PET scan: Is it in DICOM format or other electronic format?) ne 1), Q2b1. FTDFDDID (FDG-PET scan: Specify DICOM or other format) must be blank",IF (FTDFDGPT=0 or FTDFDDIC = 1) and FTDFDDID is not blank,,"FTDFDGPT, FTDFDDIC, FTDFDDID",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-111,111,Error,e2f,IF,FTDFDADV,Missingness,FTDFDADV conditionally blank,"If (FTDFDGPT=0 or FTDFDADN = 1), FTDFDADV must be blank","If (Q2. FTDFDGPT  (Is an FDG-PET scan available for data sharing?)=0 or Q2c. FTDFDADN (FDG-PET scan: Was ADNI protocol used?) ne 1), Q2c1. FTDFDADV (FDG-PET scan: If ADNI protocol used, then ADNI version?) must be blank",IF (FTDFDGPT=0 or FTDFDADN = 1) and FTDFDADV is not blank,,"FTDFDGPT, FTDFDADN, FTDFDADV",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-112,112,Error,e2f,IF,FTDFDMAO,Missingness,FTDFDMAO conditionally blank,"If (FTDFDGPT=0 or FTDFDMAN = 4), FTDFDMAO must be blank","If (Q2. FTDFDGPT  (Is an FDG-PET scan available for data sharing?)=0 or Q2d. FTDFDMAN (FDG-PET scan: Scan manufacturer?) ne 4), Q2d0. FTDFDMAO (FDG-PET scan: Scan manufacturer, if other specify) must be blank",IF (FTDFDGPT=0 or FTDFDMAN = 4) and FTDFDMAO is not blank,,"FTDFDGPT, FTDFDMAN, FTDFDMAO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-113,113,Error,e2f,IF,FTDFDMAM,Missingness,FTDFDMAM conditionally blank,"If FTDFDGPT = 0, FTDFDMAM must be blank","If Q2. FTDFDGPT  (Is an FDG-PET scan available for data sharing?)=0, Q2d1. FTDFDMAM (FDG-PET scan: Manufacturer model?) must be blank",IF FTDFDGPT = 0 and FTDFDMAM is not blank,,"FTDFDGPT, FTDFDMAM",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-114,114,Error,e2f,IF,FTDAMDID,Missingness,FTDAMDID conditionally blank,"If (FTDAMYPT= 0 or FTDFDDIC ne 1), FTDAMDID must be blank","If (Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?)= 0 or Q3b. FTDFDDIC (Amyloid PET scan: Is it in DICOM format or other electronic format?) ne 1), Q3b1. FTDAMDID (Amyloid PET scan: Specify DICOM or other format) must be blank",IF (FTDAMYPT= 0 or FTDFDDIC ne 1) and FTDAMDID is not blank,,"FTDAMYPT, FTDFDDIC, FTDAMDID",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-115,115,Error,e2f,IF,FTDAMLIO,Missingness,FTDAMLIO conditionally blank,"If (FTDAMYPT= 0 or FTDAMLIG ne 3), FTDAMLIO must be blank","If (Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?)= 0 or Q3c. FTDAMLIG (Amyloid PET scan: Ligand used?) ne 3), Q3c1. FTDAMLIO (Amyloid PET scan: Specify other ligand used) must be blank",IF (FTDAMYPT= 0 or FTDAMLIG ne 3) and FTDAMLIO is not blank,,"FTDAMYPT, FTDAMLIG, FTDAMLIO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-116,116,Error,e2f,IF,FTDAMADV,Missingness,FTDAMADV conditionally blank,"If (FTDAMYPT= 0 or FTDAMADN ne 4), FTDAMADV must be blank","If (Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?)= 0 or Q3d. FTDAMADN (Amyloid PET scan: Was ADNI protocol used?) ne 4), Q3d1. FTDAMADV ( Amyloid PET scan: If ADNI protocol was used, then ADNI version?) must be blank",IF (FTDAMYPT= 0 or FTDAMADN ne 4) and FTDAMADV is not blank,,"FTDAMYPT, FTDAMADN, FTDAMADV",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-117,117,Error,e2f,IF,FTDAMMAO,Missingness,FTDAMMAO conditionally blank,"If (FTDAMYPT= 0 or FTDAMMAN ne 4), FTDAMMAO must be blank","If (Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?)= 0 or Q3e. FTDAMMAN (Amyloid PET scan: Scan manufacturer?) ne 4), Q3e0. FTDAMMAO (Amyloid PET scan: Manufacturer, if other specify) must be blank",IF (FTDAMYPT= 0 or FTDAMMAN ne 4) and FTDAMMAO is not blank,,"FTDAMYPT, FTDAMMAN, FTDAMMAO",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-118,118,Error,e2f,IF,FTDAMMAM,Missingness,FTDAMMAM conditionally blank,"If FTDAMYPT =0, FTDAMMAM must be blank","If Q3. FTDAMYPT (Is an amyloid PET scan available for data sharing?)= 0, Q3e1. FTDAMMAM (Amyloid PET scan: Manufacturer model?) must be blank",IF FTDAMYPT = 1 and FTDAMMAM is not blank,,"FTDAMYPT, FTDAMMAM",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-119,119,Error,e2f,IF,FTDOTANS,Missingness,FTDOTANS conditionally blank,"If (FTDOTHER=0 or FTDOTANO ne 1), FTDOTANS must be blank","If (Q4. FTDOTHER (Are other PET and SPECT scans available for data sharing?) = 0 or Q4d. FTDOTANO (Other PET or SPECT scans: Is another kind of scan available?) ne 1), Q4d1. FTDOTANS (Other scan specify) must be blank",IF (FTDOTHER=0 or FTDOTANO ne 1) and FTDOTANS is not blank,,"FTDOTHER, FTDOTANO, FTDOTANS",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-120,120,Error,e2f,IF,FRMDATEE2F,Missingness,FRMDATEE2F must be present,FRMDATEE2F cannot be blank,Q0a. FRMDATEE2F (E2F form date) cannot be blank ,If FRMDATEE2F = blank,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-c-121,121,Error,e2f,IF,FRMDATEE2F,Conformity,FRMDATEE2F conforms,FRMDATEE2F must be a date,Q0a. FRMDATEE2F (E2F form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEE2F is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,
e2f-ftldivp-m-122,122,Error,e2f,IF,LANGE2F,Missingness,LANGE2F must be present,LANGE2F cannot be blank,Q0c. LANGE2F (Language of E2F administration) cannot be blank,If LANGE2F = blank,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
