CHECKLIST,,,Form ,Packet,,,,
b1d,IDS,27nn. Other chronic conditions: Dental pain,DSDENTAL,Always,Integers 0-3,"0, Condition not present | 1, Recent condition (past year) | 2, Condition diagnosed in last 5 years | 3, Lifelong condition",Integer,
b1d,IDS,28a. Reason for current medication: Treatment for chronic conditions,DSCHRNRX,Always,Integers 0-1,"0, No | 1, Yes",Integer,
b1d,IDS,28b. Reason for current medication: Treatment of mental health disorders or behavior problems,DSMHRX,Always,Integers 0-1,"0, No | 1, Yes",Integer,
b1d,IDS,28c. Reason for current medication: Treatment of pain,DSPAINRX,Always,Integers 0-1,"0, No | 1, Yes",Integer,
b1d,IDS,29. Comments related to other notable changes or concerns,DSCOMM,No,Any text,,String,
b1d,IDS,30a. Recommendations: Refer to treating physician for assessment,DSRE_REF,Conditional,Integer 0-1 or blank,,Integer,
b1d,IDS,30b. Recommendations: Review internally by clinical personnel,DSRE_INT,Conditional,Integer 0-1 or blank,,Integer,
b1d,IDS,30c. Recommendations: Include in annual review/annual welness visit,DSRE_ANN,Conditional,Integer 0-1 or blank,,Integer,
b1d,IDS,30d. Recommendations: Repeat in ... months,DSRE_REP,Conditional,Integer 0-1 or blank,,Integer,
b1d,IDS,30d1. Recommendations: Specify number of months to repeat,DSREPMO,Conditional,Any text,,,[dsre_rep]='1'
